# NOAA Paleoclimatology Program - Paleocean Site Data
# odp704a_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David A. Hodell
# Core/Site:      ODP704A
# Latitude:       46.53.00S	( -46.88334)
# Longitude:      7.25.00E	( 7.41667)
# Water Depth(m): 2532
#
# Publications:
#   Hodell, D.A., C. Charles, and U. Ninnemann. 2000. Comparison of interglacial
#     stages in the South Atlantic sector of the southern ocean for the past 450 kyr:
#     implications for Marine Isotope Stage(MIS) 11. Global and Planetary
#     Change 24:7-26.
#------------------
#
# Description & Notes:
#   South Atlantic Foraminifer Stable Isotope Data, Marine Isotope Stage 11.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cn.pachy   delta C13 PDB (Neogloboquadrina pachyderma)
#             d18On.pachy   delta O18 PDB (Neogloboquadrina pachyderma)
#
# CORE: ODP704A
depth         yrBP          d13Cn.pachy   d18On.pachy   
-999           437990       -0.25          3.99         
-999           438980        0.08          3.96         
-999           439970       -0.09          3.96         
-999           440960       -0.31          3.91         
-999           441960       -0.3           3.7          
-999           442950       -0.51          3.88         
-999           443940       -0.55          3.91         
-999           444930       -0.27          3.8          
-999           445930       -0.3           3.91         
-999           446920        0.12          3.78         
-999           447910        0.04          3.51         
-999           448910       -0.04          3.85         
-999           449900       -0.65          3.75         
-999           452380        0.19          3.67         
-999           453370        0.15          3.67         
-999           455360        0.24          3.53         
-999           456350        0.26          3.68         
-999           457340        0.24          3.91         
-999           458340        0.47          3.32         
-999           459330        0.23          3.75         
-999           460070        0.26          3.86         
-999           462060        0.73          3.18         
-999           463050        0.29          3.74         
-999           464040        0.25          3.78         
-999           465040        0.34          3.79         
-999           466030        0.34          3.76         
-999           467020        0.21          3.74         
-999           469010        0.54          3.75         
-999           470000        0.59          3.97         
-999           470600        0.6           3.72         
-999           471640        0.72          3.66         
-999           472240        0.53          3.67         
-999           472840        0.51          3.63         
-999           473430        0.64          3.56         
-999           474030        0.55          3.52         
-999           474630        0.71          3.36         
-999           475220        0.72          3.44         
-999           475820        0.68          3.21         
-999           476420        0.64          3.32         
-999           477010        0.78          3.34         
-999           477610        0.71          3.27         
-999           478210        0.66          3.24         
-999           478810        0.64          3.21         
-999           479400        0.71          3.06         
-999           480000        0.75          2.81         
-999           482750        0.73          2.88         
-999           485500        0.74          2.9          
-999           488250        0.83          2.87         
-999           491000        0.84          2.69         
-999           493750        0.67          2.75         
-999           496500        0.62          2.76         
-999           499250        0.58          2.6          
-999           502000        0.54          2.87         
-999           503870        0.55          3.32         
-999           505740        0.44          3.07         
-999           507610        0.57          3.22         
-999           509480        0.62          3.37         
-999           511340        0.55          3.16         
-999           513210        0.66          3.27         
-999           515080        0.63          3.25         
-999           516950        0.61          3.35         
-999           518820        0.63          3.37         
-999           520690        0.71          3.28         
-999           522560        0.75          3.41         
-999           524430        0.7           3.19         
-999           526300        0.9           2.87         
-999           530970        0.63          3.25         
-999           532840        0.76          3.29         
-999           534700        0.73          3.25         
-999           536570        0.83          3.2          
-999           538440        0.61          3.19         
-999           540310        0.74          3.1          
-999           542180        0.64          3.08         
-999           544050        0.69          3.17         
-999           545920        0.66          2.86         
-999           548720        0.62          2.99         
-999           550590        0.76          3.03         
-999           552460        0.69          3.01         
-999           554330        0.67          3.1          
-999           556200        0.76          2.98         
-999           558070        0.7           2.93         
