hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982A	1	5	122-124	7.22	343.94	3.64	1.12	2.48	-0.81	32.25	5.7082
982A	1	5	127-129	7.27	345.26	3.48	1.22	2.75	-0.49	40.75	5.8091
982A	1	5	132-134	7.32	346.59	3.05	0.98	2.84	-0.29	59.08	1.8330
982A	1	5	137-139	7.37	347.91	3.23	1.13	2.60	-0.48	61.58	1.0549
982A	1	5	142-144	7.42	349.24	3.56	1.14	2.67	0.07	55.08	1.2579
982A	1	5	147-149	7.47	350.56	3.69	1.23	2.62	-0.33	73.67	0.2033
982A	1	6	 2-4	7.52	351.88	3.74	1.35	2.75	-0.04	67.25	1.0482
982A	1	6	 7-9	7.57	353.21	3.61	1.30	2.84	0.25	66.50	0.4320
982A	1	6	 12-14	7.62	354.53	3.46	1.33	2.87	0.07	83.17	1.0438
982A	1	6	17-19	7.67	355.85	3.40	1.15	2.77	0.12	80.42	0.4107
982B	2	1	87-89	7.69	356.38	3.62	1.01	3.01	0.21	86.17	0.2079
982B	2	1	92-94	7.74	357.71	3.33	1.23	2.73	-0.15	81.33	0.0000
982B	2	1	97-99	7.79	359.03	3.22	1.05	2.66	0.06	82.50	0.4107
982B	2	1	102-104	7.84	360.35	2.84	1.05	2.21	-0.29	73.75	1.9108
982B	2	1	107-109	7.89	361.68	2.90	0.95	2.33	0.02	75.83	2.1692
982B	2	1	112-114	7.94	363	2.61	0.96	2.41	-0.05	76.76	0.4301
982B	2	1	117-119	7.99	364.32	3.12	1.08	2.53	-0.21	78.50	0.2128
982B	2	1	122-124	8.04	365.65	3.38	1.19	2.43	-0.33	76.83	0.6369
982B	2	1	127-129	8.09	366.97	3.25	1.02	2.03	-0.25	75.75	1.2793
982B	2	1	132-134	8.14	368.29	3.46	1.09	2.38	0.04	77.83	0.4167
982B	2	1	137-139	8.19	369.62			2.20	-0.26	84.08	0.0000
982B	2	1	142-144	8.24	370.94	3.08	1.23	2.17	0.03	83.67	0.4124
982B	2	1	147-149	8.29	372.26	2.82	1.11	2.25	0.09	86.67	0.0000
982B	2	2	 2-4	8.34	373.59			1.96	0.22	88.08	0.0000
982B	2	2	 7-9	8.39	374.91	2.94	1.11	1.73	0.23	90.50	0.6263
982B	2	2	 12-14	8.44	376.24	2.84	1.07	1.85	0.39	89.00	0.0000
982B	2	2	17-19	8.49	377.56			1.75	0.21	87.58	0.0000
982B	2	2	22-24	8.54	378.88			1.88	0.09	84.83	0.0000
982B	2	2	27-29	8.59	380.21			1.54	0.26	88.83	0.0000
982B	2	2	32-34	8.64	381.53			1.93	0.26	89.17	0.0000
982B	2	2	37-39	8.69	382.85			1.03	0.58	90.42	0.0000
982B	2	2	42-44	8.74	384.18	2.10	0.73	1.96	0.17	89.75	0.0000
982B	2	2	47-49	8.79	385.5			1.80	0.06	87.17	0.0000
982B	2	2	52-54	8.84	386.82	2.09	1.08	1.84	0.17	89.67	0.0000
982B	2	2	57-59	8.89	388.15	1.99	0.80	1.88	0.07	90.42	0.0000
982B	2	2	62-64	8.94	389.47			1.89	0.18	87.17	0.0000
982B	2	2	67-69	8.99	390.79			1.73	-0.30	92.50	0.0000
982B	2	2	72-74	9.04	392.12			1.75	0.06	85.17	0.0000
982B	2	2	77-79	9.09	393.44			1.72	-0.09	82.92	0.0000
982B	2	2	82-84	9.14	394.76			1.82	0.02	88.17	0.0000
982B	2	2	87-89	9.19	396.09	2.43	1.29	1.64	-0.06	89.08	0.0000
982B	2	2	92-94	9.24	397.41			1.77	-0.15	86.67	0.2012
982B	2	2	97-99	9.29	398.74			1.79	0.02	90.25	0.0000
982B	2	2	102-104	9.34	400.06	2.15	0.87	1.66	-0.12	90.42	0.0000
982B	2	2	107-109	9.39	401.38	2.15	0.97	1.71	-0.29	85.92	0.0000
982B	2	2	112-114	9.44	402.69	2.32	0.86	1.86	-0.12	87.17	0.0000
982B	2	2	117-119	9.49	403.99			1.98	-0.24	90.92	0.6048
982B	2	2	122-124	9.54	405.28			1.80	-0.32	88.00	0.2037
982B	2	2	127-129	9.59	406.58			2.02	-0.25	85.67	1.2245
982B	2	2	132-134	9.64	407.88	2.18	0.95	2.25	-0.49	84.17	0.4141
982B	2	2	137-139	9.69	408.75			2.21	-0.59	81.92	1.0352
982B	2	2	142-144	9.74	409.5	3.21	1.23	2.25	-0.64	78.92	0.2033
982B	2	2	147-149	9.79	410.25			2.12	-0.57	84.17	0.2033
982B	2	3	 2-4	9.84	411	2.53	0.95	2.29	-0.84	75.33	0.4082
982B	2	3	 7-9	9.89	411.75			2.22	-0.87	74.83	1.0661
982B	2	3	 12-14	9.94	412.5			2.41	-0.84	69.83	0.4175
982B	2	3	17-19	9.99	413.25			2.35	-0.48	67.67	1.0730
982B	2	3	22-24	10.04	414			2.43	-0.88	59.17	5.6054
982B	2	3	27-29	10.09	414.75	3.81	0.52	2.20	-0.99	80.00	10.3120
982B	2	3	32-34	10.14	415.5	3.06	0.99	2.28	-1.38	44.92	40.6140
982B	2	3	37-39	10.19	416.25			2.28	-1.42	47.75	22.5680
982B	2	3	42-44	10.24	417	3.75	0.66	2.45	-1.33	29.17	74.0380
982B	2	3	47-49	10.29	417.75	3.90	0.72	2.30	-1.45	21.17	85.2350
982B	2	3	52-54	10.34	418.5	4.24	0.93			20.75	100.0000
982B	2	3	57-59	10.39	419.25			1.75	-0.38	21.17	62.5000
982B	2	3	62-64	10.44	420.48	4.57	0.99	3.04	-0.95	19.25	56.8630
982B	2	3	67-69	10.49	421.95	4.39	1.40	3.34	-1.09	18.75	47.9450
982B	2	3	72-74	10.54	423.42			2.70	-1.04	17.58	45.3660
982B	2	3	77-79	10.59	424.89	4.61	1.55	2.88	-0.83	23.25	20.2850
982B	2	3	82-84	10.64	426.37	3.50	1.12	2.75	-0.95	31.33	9.2910
982B	2	3	87-89	10.69	427.91	3.65	1.10	2.60	-1.23	36.17	6.1033
982B	2	3	92-94	10.74	429.49	3.69	1.07	2.49	-1.09	39.83	6.9717
982B	2	3	97-99	10.79	431.07	3.47	0.93	2.60	-0.86	38.17	4.4586
982B	2	3	102-104	10.84	432.65	4.09	1.45	2.67	-0.90	48.25	11.2680
982B	2	3	107-109	10.89	434.23			2.34	-0.38	48.83	3.5533
982B	2	3	112-114	10.94	435.81			2.60	-0.85	42.58	1.1601
982B	2	3	117-119	10.99	437.39	3.27	1.11	2.55	-0.90	46.08	1.9002
982B	2	3	122-124	11.04	438.97	3.76	1.28	2.46	-0.74	52.92	10.0000
982B	2	3	127-129	11.09	440.55	2.73	1.76	2.44	-0.77	41.42	2.2676
982B	2	3	132-134	11.14	442.14	3.54	1.11	2.53	-0.68	38.08	3.2641
982B	2	3	137-139	11.19	443.72			2.59	0.13	47.50	2.7719
982B	2	3	142-144	11.24	445.3			2.38	-0.41	72.42	0.4107
982B	2	3	147-149	11.29	446.88			2.48	0.13	86.50	0.0000
982B	2	4	 2-4	11.34	448.46			2.45	0.07	83.33	0.2049
982B	2	4	 7-9	11.39	450.04			2.11	0.00	77.17	0.4132
982B	2	4	 12-14	11.44	451.62	3.42	1.13	2.03	-0.25	68.00	7.8390
982B	2	4	17-19	11.49	453.2	3.51	1.43	2.24	-0.13	53.17	8.1319
982B	2	4	22-24	11.54	454.78	3.33	1.41	2.30	-0.02	53.42	4.3384
982B	2	4	27-29	11.59	456.36	3.66	1.49			84.75	0.4090
982B	2	4	32-34	11.64	457.95	3.29	1.36	2.24	-0.14	89.50	0.8333
982B	2	4	37-39	11.69	459.53	3.12	1.33	2.32	-0.25	91.67	0.6135
982B	2	4	42-44	11.74	461.11	3.09	1.33	2.27	0.05	92.58	0.0000
982B	2	4	47-49	11.79	462.69	2.91	1.39	2.09	-0.13	81.83	0.4073
982B	2	4	52-54	11.84	464.27	2.93	1.69	2.60	0.41	76.00	6.5678
982B	2	4	57-59	11.89	465.85	3.14	1.79	2.54	0.62	78.33	8.1197
982B	2	4	62-64	11.94	467.43			2.53	0.34	91.92	0.8265
982B	2	4	67-69	11.99	469.01	2.90	1.60	2.40	0.61	92.50	0.8265
982B	2	4	72-74	12.04	470.59	2.71	1.19	2.54	0.44	87.75	0.4049
982B	2	4	77-79	12.09	472.18			2.19	0.24	85.25	0.4040
982B	2	4	82-84	12.14	473.76	2.34	1.33	2.42	0.29	88.92	0.0000
982B	2	4	87-89	12.19	475.34	2.71	1.58	2.29	0.07	86.83	0.0000
982B	2	4	92-94	12.24	476.92	2.77	1.34	2.43	0.43	76.58	0.0000
982B	2	4	97-99	12.29	478.5	2.95	1.38	2.25	0.18	89.58	0.0000
982B	2	4	102-104	12.34	480.08	2.81	1.34	2.37	0.26	88.00	0.2075
982B	2	4	107-109	12.39	481.66	2.89	1.57	2.15	0.07	90.50	0.0000
982B	2	4	112-114	12.44	483.24	2.91	1.39	2.09	0.07	90.08	0.0000
