# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982an_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Carin Andersson
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Andersson, C., and E. Jansen. 2003. A Miocene (8–12 Ma) intermediate water benthic
#     stable isotope record from the northeastern Atlantic, ODP Site 982, Paleoceanography,
#     18(1):1013.
#------------------
#
# Description & Notes:
#   Miocene Benthic Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP982
depth         yrBP          d13Cc.wuell   d18Oc.wuell   notes
 32504         8923000       1.23          1.84         982B-33X-5, 105-107         
 32514         8926000       1.25          1.83         982B-33X-5, 115-117         
 32524         8929000       1.22          1.72         982B-33X-5, 125-127         
 32534         8932000       1.19          1.8          982B-33X-5, 135-137         
 32544         8934000       1.21          1.71         982B-33X-5, 145-147         
 32554         8937000       1.13          1.8          982B-33X-6, 5- 7            
 32564         8940000       1.06          1.84         982B-33X-6, 15-17           
 32574         8943000       1.12          2.25         982B-33X-6, 25-27           
 32774         8999000       0.66          1.89         982B-34X-1, 5- 7            
 32784         9001000       0.99          2.02         982B-34X-1, 15-17           
 32794         9004000       1             1.93         982B-34X-1, 25-27           
 32804         9007000       1.2           2.02         982B-34X-1, 35-37           
 32814         9010000       1.2           1.79         982B-34X-1, 45-47           
 32824         9013000       1.22          1.86         982B-34X-1, 55-57           
 32834         9015000       1.09          1.67         982B-34X-1, 65-67           
 32854         9021000       1.21          1.67         982B-34X-1, 85-87           
 32864         9024000       1.17          2.15         982B-34X-1, 95-97           
 32874         9026000       1.24          1.82         982B-34X-1, 105-107         
 32884         9029000       1.24          2.03         982B-34X-1, 115-117         
 32894         9032000       1.09          1.64         982B-34X-1, 125-127         
 32904         9035000       1.21          1.97         982B-34X-1, 135-137         
 32914         9038000       1.06          1.85         982B-34X-1, 145-147         
 32924         9040000       1.34          2.62         982B-34X-2, 5- 7            
 32934         9043000       1.32          2.54         982B-34X-2, 15-17           
 32944         9046000       1.23          2.34         982B-34X-2, 25-27           
 32954         9049000       1.05          2.5          982B-34X-2, 35-37           
 32964         9052000       1.01          2.34         982B-34X-2, 45-47           
 32974         9054000       1.04          2.29         982B-34X-2, 55-57           
 32984         9057000       0.94          2.33         982B-34X-2, 65-67           
 32994         9060000       0.92          2.18         982B-34X-2, 75-77           
 33004         9063000       0.69          2.13         982B-34X-2, 85-87           
 33014         9065000       0.88          2.18         982B-34X-2, 95-97           
 33024         9068000       0.8           2.04         982B-34X-2, 105-107         
 33034         9071000       0.87          2.24         982B-34X-2, 115-117         
 33044         9074000       0.8           2.12         982B-34X-2, 125-127         
 33054         9077000       0.85          2.03         982B-34X-2, 135-137         
 33064         9079000       1.03          2.27         982B-34X-2, 145-147         
 33074         9082000       1.02          1.95         982B-34X-3, 5- 7            
 33084         9085000       0.98          1.93         982B-34X-3, 15-17           
 33094         9088000       0.9           1.97         982B-34X-3, 25-27           
 33104         9091000       1.37          2.28         982B-34X-3, 35-37           
 33114         9093000       0.95          1.96         982B-34X-3, 45-47           
 33124         9096000       1.03          1.76         982B-34X-3, 55-57           
 33134         9099000       1.13          2.06         982B-34X-3, 65-67           
 33144         9102000       1.02          2.12         982B-34X-3, 75-77           
 33154         9104000       0.89          2.17         982B-34X-3, 85-87           
 33164         9107000       0.9           1.98         982B-34X-3, 95-97           
 33174         9110000       1.02          2.06         982B-34X-3, 105-107         
 33184         9113000       0.98          1.99         982B-34X-3, 115-117         
 33194         9116000       1.05          1.91         982B-34X-3, 125-127         
 33204         9118000       1.08          1.92         982B-34X-3, 135-137         
 33214         9121000       1.12          1.89         982B-34X-3, 145-147         
 33224         9124000       1.06          2.09         982B-34X-4, 5- 7            
 33234         9127000       1             2            982B-34X-4, 15-17           
 33244         9130000       1.03          2.2          982B-34X-4, 25-27           
 33254         9132000       0.89          2.05         982B-34X-4, 35-37           
 33264         9135000       1.19          2.23         982B-34X-4, 45-47           
 33274         9138000       1.04          1.87         982B-34X-4, 55-57           
 33284         9141000       1.17          2.07         982B-34X-4, 65-67           
 33294         9143000       1.14          1.94         982B-34X-4, 75-77           
 33304         9146000       1.11          1.9          982B-34X-4, 85-87           
 33314         9149000       0.92          1.93         982B-34X-4, 95-97           
 33324         9152000       1.11          2.08         982B-34X-4, 105-107         
 33334         9155000       1.09          2.07         982B-34X-4, 115-117         
 33344         9157000       1             2            982B-34X-4, 125-127         
 33354         9160000       0.98          2.12         982B-34X-4, 135-137         
 33364         9163000       1.02          2.23         982B-34X-4, 145-147         
 33374         9166000       1.1           2.16         982B-34X-5, 5- 7            
 33384         9169000       1.04          2.15         982B-34X-5, 15-17           
 33394         9171000       1.19          2.04         982B-34X-5, 25-27           
 33404         9174000       1.29          2.04         982B-34X-5, 35-37           
 33414         9177000       1.26          1.92         982B-34X-5, 45-47           
 33434         9183000       1.18          1.89         982B-34X-5, 65-67           
 33444         9185000       1.26          2.24         982B-34X-5, 75-77           
 33454         9188000       1.19          1.79         982B-34X-5, 85-87           
 33464         9191000       1.23          1.9          982B-34X-5, 95-97           
 33474         9194000       1.2           1.92         982B-34X-5, 105-107         
 33484         9196000       1.28          1.93         982B-34X-5, 115-117         
 33494         9199000       1.15          1.99         982B-34X-5, 125-127         
 33504         9202000       1.09          1.85         982B-34X-5, 135-137         
 33514         9205000       1.17          1.99         982B-34X-5, 145-147         
 33524         9208000       1.06          1.87         982B-34X-6, 5- 7            
 33534         9210000       1.19          2.12         982B-34X-6, 15-17           
 33734         9266000       1.03          1.78         982B-35X-1, 5- 7            
 33744         9269000       1.11          1.69         982B-35X-1, 15-17           
 33754         9272000       1.18          1.66         982B-35X-1, 25-27           
 33764         9274000       1.18          1.78         982B-35X-1, 35-37           
 33774         9277000       1.15          1.69         982B-35X-1, 45-47           
 33794         9283000       1.08          1.72         982B-35X-1, 65-67           
 33804         9286000       1.03          1.84         982B-35X-1, 75-77           
 33814         9288000       1.23          1.94         982B-35X-1, 85-87           
 33824         9291000       1.16          1.83         982B-35X-1, 95-97           
 33834         9294000       1.14          2            982B-35X-1, 105-107         
 33844         9297000       1.16          2.05         982B-35X-1, 115-117         
 33854         9300000       1.06          1.9          982B-35X-1, 125-127         
 33864         9302000       1.01          1.97         982B-35X-1, 135-137         
 33874         9305000       1.02          1.92         982B-35X-1, 145-147         
 33884         9308000       1.09          2.07         982B-35X-2, 5- 7            
 33894         9311000       1.08          1.98         982B-35X-2, 15-17           
 33904         9313000       1.31          2.25         982B-35X-2, 25-27           
 33914         9316000       1.01          1.92         982B-35X-2, 35-37           
 33924         9319000       1.15          2.1          982B-35X-2, 45-47           
 33934         9322000       1.01          1.9          982B-35X-2, 55-57           
 33944         9325000       1.01          1.86         982B-35X-2, 65-67           
 33954         9327000       1.12          1.65         982B-35X-2, 75-77           
 33964         9330000       1.11          2            982B-35X-2, 85-87           
 33974         9333000       1.21          1.83         982B-35X-2, 95-97           
 33984         9336000       1.17          1.76         982B-35X-2, 105-107         
 33994         9339000       1.04          1.76         982B-35X-2, 115-117         
 34004         9341000       1.06          1.84         982B-35X-2, 125-127         
 34014         9344000       1.15          1.89         982B-35X-2, 135-137         
 34024         9347000       0.95          1.74         982B-35X-2, 145-147         
 34034         9350000       1.03          2.09         982B-35X-3, 5- 7            
 34044         9353000       0.87          2.06         982B-35X-3, 15-17           
 34054         9355000       0.91          1.98         982B-35X-3, 25-27           
 34064         9358000       0.73          2.31         982B-35X-3, 35-37           
 34074         9361000       0.84          2.19         982B-35X-3, 45-47           
 34084         9364000       0.87          1.95         982B-35X-3, 55-57           
 34094         9366000       0.72          1.92         982B-35X-3, 65-67           
 34104         9369000       1.22          2.05         982B-35X-3, 75-77           
 34114         9372000       1.17          2.1          982B-35X-3, 85-87           
 34124         9375000       1.23          2.1          982B-35X-3, 95-97           
 34134         9378000       1.06          1.86         982B-35X-3, 105-107         
 34144         9380000       1.2           1.77         982B-35X-3, 115-117         
 34154         9383000       1.02          1.77         982B-35X-3, 125-127         
 34164         9386000       1.2           1.71         982B-35X-3, 135-137         
 34174         9389000       1.11          1.83         982B-35X-3, 145-147         
 34184         9392000       1.01          1.83         982B-35X-4, 5- 7            
 34194         9394000       1.13          2.19         982B-35X-4, 15-17           
 34204         9397000       1.14          1.86         982B-35X-4, 25-27           
 34214         9400000       1.17          2.14         982B-35X-4, 35-37           
 34224         9403000       0.91          1.65         982B-35X-4, 45-47           
 34234         9405000       0.99          1.76         982B-35X-4, 55-57           
 34244         9408000       0.94          1.93         982B-35X-4, 65-67           
 34254         9411000       0.63          1.73         982B-35X-4, 75-77           
 34264         9414000       0.95          2.1          982B-35X-4, 85-87           
 34274         9417000       0.84          1.89         982B-35X-4, 95-97           
 34284         9419000       0.88          2.17         982B-35X-4, 105-107         
 34294         9422000       0.68          1.88         982B-35X-4, 115-117         
 34304         9425000       1.09          2            982B-35X-4, 125-127         
 34314         9428000       1.11          1.84         982B-35X-4, 135-137         
 34324         9431000       1.11          1.91         982B-35X-4, 145-147         
 34694         9534000       0.94          1.89         982B-36X-1, 5- 7            
 34704         9536000       1.04          1.85         982B-36X-1, 15-17           
 34714         9539000       0.97          2            982B-36X-1, 25-27           
 34724         9542000       0.97          1.98         982B-36X-1, 35-37           
 34734         9545000       0.82          1.99         982B-36X-1, 45-47           
 34744         9548000       0.9           1.91         982B-36X-1, 55-57           
 34754         9550000       0.7           2.04         982B-36X-1, 65-67           
 34764         9553000       1             2.02         982B-36X-1, 75-77           
 34774         9556000       0.68          2.02         982B-36X-1, 85-87           
 34784         9559000       0.83          1.93         982B-36X-1, 95-97           
 34794         9562000       0.61          2.01         982B-36X-1, 105-107         
 34804         9564000       0.95          1.99         982B-36X-1, 115-117         
 34814         9567000       1.03          1.92         982B-36X-1, 125-127         
 34834         9573000       1.14          1.96         982B-36X-1, 145-147         
 34844         9575000       1.17          1.86         982B-36X-2, 5- 7            
 34854         9578000       1.06          2.07         982B-36X-2, 15-17           
 34864         9581000       1.07          1.95         982B-36X-2, 25-27           
 34874         9584000       1.23          1.82         982B-36X-2, 35-37           
 34884         9587000       1.13          1.9          982B-36X-2, 45-47           
 34894         9589000       1.13          1.85         982B-36X-2, 55-57           
 34904         9592000       1.29          1.9          982B-36X-2, 65-67           
 34914         9595000       1.35          1.88         982B-36X-2, 75-77           
 34924         9598000       1.24          1.73         982B-36X-2, 85-87           
 34934         9601000       1.03          1.78         982B-36X-2, 95-97           
 34944         9603000       1.3           1.83         982B-36X-2, 105-107         
 34954         9606000       1.28          1.86         982B-36X-2, 115-117         
 34964         9609000       1.11          1.78         982B-36X-2, 125-127         
 34974         9612000       1.08          1.88         982B-36X-2, 135-137         
 34984         9614000       1.22          1.89         982B-36X-2, 145-147         
 34994         9617000       1.21          1.88         982B-36X-3, 5- 7            
 35004         9620000       1.13          2.03         982B-36X-3, 15-17           
 35014         9623000       0.82          2.15         982B-36X-3, 25-27           
 35024         9626000       1.08          2.14         982B-36X-3, 35-37           
 35034         9628000       0.93          2.05         982B-36X-3, 45-47           
 35044         9631000       1.08          1.87         982B-36X-3, 55-57           
 35054         9634000       1.18          2.11         982B-36X-3, 65-67           
 35064         9637000       1.23          2.06         982B-36X-3, 75-77           
 35074         9640000       1.11          1.89         982B-36X-3, 85-87           
 35084         9642000       0.94          1.88         982B-36X-3, 95-97           
 35094         9645000       1.19          1.64         982B-36X-3, 105-107         
 35104         9648000       1.15          1.75         982B-36X-3, 115-117         
 35114         9651000       1.23          1.76         982B-36X-3, 125-127         
 35124         9653000       1.15          1.74         982B-36X-3, 135-137         
 35134         9656000       1.4           1.88         982B-36X-3, 145-147         
 35144         9659000       1.25          1.95         982B-36X-4, 5- 7            
 35154         9662000       1.39          2.08         982B-36X-4, 15-17           
 35164         9665000       1.31          2.23         982B-36X-4, 25-27           
