mcd	c13	o18 (o/oo PDB)	species
37,66	-0,43	3,93	C. wuellerstorfi
37,76	0,97	2,74	C. spp.
37,96	-0,41	3,88	C. wuellerstorfi
38,06	-0,58	3,77	C. wuellerstorfi
38,16	-0,26	3,77	C. wuellerstorfi
38,26	0,15	3,71	C. wuellerstorfi
38,26	0,76	3,42	C. wuellerstorfi
38,36	0,75	3,36	C. wuellerstorfi
38,46	0,66	3,39	C. wuellerstorfi
38,56	0,44	3,39	C. wuellerstorfi
38,66	0,60	3,11	C. wuellerstorfi
38,76	0,36	3,07	C. wuellerstorfi
38,76	0,55	3,06	C. wuellerstorfi
38,86	0,52	3,05	C. wuellerstorfi
39,26	-0,26	3,22	C. wuellerstorfi
39,36	-0,18	3,32	C. wuellerstorfi
39,56	-0,02	3,44	C. wuellerstorfi
39,66	0,84	2,87	C. wuellerstorfi
39,66	-0,08	3,11	C. wuellerstorfi
39,76	0,47	3,05	C. wuellerstorfi
39,86	0,74	2,80	C. wuellerstorfi
39,96	0,54	2,89	C. wuellerstorfi
40,06	0,80	2,65	C. kullenbergi
40,16	0,28	2,58	C. wuellerstorfi
40,16	0,90	2,28	C. wuellerstorfi
40,26	0,58	2,32	C. wuellerstorfi
40,36	0,71	2,28	C. wuellerstorfi
40,46	0,11	2,87	C. wuellerstorfi
40,56	0,73	3,69	C. wuellerstorfi
40,56	-0,02	3,64	C. wuellerstorfi
40,66	0,86	3,17	C. wuellerstorfi
40,76	0,80	3,47	C. wuellerstorfi
40,86	0,74	2,71	C. wuellerstorfi
40,96	0,86	2,81	C. wuellerstorfi
41,06	0,67	2,94	C. wuellerstorfi
41,16	0,42	2,97	C. wuellerstorfi
41,16	0,44	2,98	C. wuellerstorfi
41,26	0,11	3,13	C. wuellerstorfi
41,46	0,91	3,31	C. wuellerstorfi
41,56	0,79	3,21	C. wuellerstorfi
41,66	1,14	3,21	C. wuellerstorfi
41,76	1,06	2,88	C. wuellerstorfi
41,76	1,17	2,90	C. wuellerstorfi
41,86	0,94	2,95	C. wuellerstorfi
41,86	1,00	2,86	C. wuellerstorfi
42,06	0,91	3,00	C. wuellerstorfi
42,16	0,92	3,26	C. wuellerstorfi
42,35	0,56	3,32	C. wuellerstorfi
42,45	0,83	2,89	C. wuellerstorfi
42,65	1,01	2,91	C. wuellerstorfi
42,85	0,19	3,21	C. wuellerstorfi
43,05	0,75	3,69	C. wuellerstorfi
43,15	0,73	3,69	C. wuellerstorfi
43,25	0,62	3,52	C. wuellerstorfi
43,35	0,70	3,54	C. wuellerstorfi
43,45	0,56	3,55	C. wuellerstorfi
43,55	0,54	3,54	C. wuellerstorfi
43,65	-0,18	3,44	C. wuellerstorfi
43,95	0,19	3,37	C. wuellerstorfi
44,05	0,94	2,77	C. wuellerstorfi
44,15	1,06	2,30	C. wuellerstorfi
44,16	0,93	2,64	Cibicidoides spp.
44,26	1,02	2,41	C. wuellerstorfi
44,36	1,04	2,71	C. wuellerstorfi
44,56	0,94	2,84	C. wuellerstorfi
44,66	0,99	3,15	C. wuellerstorfi
44,76	0,84	3,21	C. wuellerstorfi
44,86	0,33	3,11	C. wuellerstorfi
44,96	0,33	3,20	C. wuellerstorfi
45,06	-0,19	3,63	C. wuellerstorfi
45,16	0,46	3,29	C. wuellerstorfi
45,26	0,65	3,31	C. wuellerstorfi
45,36	0,85	3,16	C. wuellerstorfi
45,46	0,95	2,83	C. wuellerstorfi
45,56	0,95	3,04	C. wuellerstorfi
45,66	0,66	3,26	C. wuellerstorfi
45,76	0,11	3,25	C. wuellerstorfi
45,86	0,53	3,87	C. wuellerstorfi
45,96	0,36	3,84	C. wuellerstorfi
46,06	0,62	3,26	C. wuellerstorfi
46,26	-0,09	3,37	C. wuellerstorfi
46,36	0,69	3,48	C. wuellerstorfi
46,46	0,50	3,39	C. wuellerstorfi
46,56	0,01	3,38	C. wuellerstorfi
46,66	0,78	3,04	C. wuellerstorfi
46,76	1,06	2,93	C. wuellerstorfi
46,86	0,92	2,68	C. kullenbergi
46,96	1,07	2,64	C. wuellerstorfi
47,06	0,97	2,80	Cibicidoides spp.
47,16	0,06	2,61	C. wuellerstorfi
47,26	1,17	2,71	Cibicidoides spp.
47,46	0,57	3,73	Cibicidoides spp.
47,56	1,11	2,68	C. wuellerstorfi
47,66	1,02	2,83	C. wuellerstorfi
47,76	1,13	2,82	C. wuellerstorfi
47,86	0,94	2,83	C. wuellerstorfi
47,96	0,77	3,55	C. wuellerstorfi
48,06	0,49	3,43	C. wuellerstorfi
48,16	0,65	3,62	C. wuellerstorfi
48,26	0,26	3,86	C. wuellerstorfi
48,36	0,42	3,76	C. wuellerstorfi
48,46	0,45	3,73	C. wuellerstorfi
48,56	0,27	3,56	C. wuellerstorfi
48,66	0,30	3,53	C. wuellerstorfi
48,76	0,13	3,64	C. wuellerstorfi
48,86	0,70	3,05	C. wuellerstorfi
48,96	-0,23	3,22	C. wuellerstorfi
49,16	0,50	3,27	C. wuellerstorfi
49,26	0,96	2,95	C. wuellerstorfi
49,36	0,63	3,05	C. wuellerstorfi
49,46	0,80	2,83	C. wuellerstorfi
49,56	1,03	2,41	C. wuellerstorfi
49,66	0,99	2,58	C. wuellerstorfi
49,7	1,03	2,77	C. wuellerstorfi
49,76	0,96	2,42	C. wuellerstorfi
49,8	0,17	3,32	C. wuellerstorfi
49,9	0,80	3,58	C. wuellerstorfi
50	0,47	3,82	C. wuellerstorfi
50,1	0,60	3,78	C. wuellerstorfi
50,2	0,60	3,62	C. wuellerstorfi
50,3	0,16	3,80	C. wuellerstorfi
50,4	0,26	3,63	C. wuellerstorfi
50,5	0,64	3,49	C. wuellerstorfi
50,6	0,54	3,15	C. wuellerstorfi
50,7	0,57	3,38	C. wuellerstorfi
50,8	0,65	3,08	C. wuellerstorfi
50,9	0,33	3,32	C. wuellerstorfi
51	1,03	2,76	C. wuellerstorfi
51,1	1,17	2,71	C. wuellerstorfi
51,2	1,50	3,39	C. wuellerstorfi
51,3	1,10	2,52	C. wuellerstorfi
51,4	-0,16	2,69	C. wuellerstorfi
51,5	-0,12	2,47	C. wuellerstorfi
51,7	-0,17	3,68	C. wuellerstorfi
51,8	-0,52	3,63	C. wuellerstorfi
51,9	-0,08	3,88	C. wuellerstorfi
52	0,04	3,53	C. wuellerstorfi
52,1	-0,05	3,32	C. wuellerstorfi
52,2	0,52	3,53	C. wuellerstorfi
52,3	0,65	3,17	C. wuellerstorfi
52,4	0,44	2,97	C. wuellerstorfi
52,5	1,03	2,95	C. wuellerstorfi
52,6	1,17	2,79	C. wuellerstorfi
52,7	1,08	2,76	C. wuellerstorfi
52,8	0,61	3,05	C. wuellerstorfi
52,9	0,79	3,14	C. wuellerstorfi
53	0,08	3,30	C. wuellerstorfi
53,1	0,04	2,93	C. wuellerstorfi
53,3	-0,13	3,25	C. wuellerstorfi
53,4	0,31	3,11	C. wuellerstorfi
53,6	0,15	2,89	C. wuellerstorfi
53,7	0,77	2,92	C. wuellerstorfi
53,8	0,15	2,88	C. wuellerstorfi
53,9	0,79	2,89	Cibicidoides spp.
54	0,45	3,32	C. wuellerstorfi
54,1	0,57	3,26	C. kullenbergi
54,2	0,99	4,07	C. kullenbergi
54,3	0,60	3,28	Cibicidoides spp.
54,4	0,69	3,41	Cibicidoides spp.
54,5	0,44	3,59	Cibicidoides spp.
54,6	0,30	3,68	C. kullenbergi
54,7	-0,17	3,19	C. wuellerstorfi
54,8	-0,22	3,08	C. wuellerstorfi
54,9	0,37	3,36	C. wuellerstorfi
55	0,98	3,14	C. wuellerstorfi
55,1	1,11	3,07	C. wuellerstorfi
55,2	1,13	2,22	C. wuellerstorfi
55,3	1,10	2,20	C. wuellerstorfi
55,4	1,15	2,96	C. wuellerstorfi
55,7	0,95	2,98	C. wuellerstorfi
55,9	0,96	2,98	C. wuellerstorfi
56	0,33	3,52	C. wuellerstorfi
56,1	0,13	3,40	C. wuellerstorfi
56,2	0,47	3,30	C. wuellerstorfi
56,3	0,86	3,31	C. wuellerstorfi
56,4	0,55	3,05	C. wuellerstorfi
56,6	1,16	2,76	C. wuellerstorfi
56,7	1,23	2,75	C. wuellerstorfi
56,74	1,31	2,71	C. wuellerstorfi
56,84	0,92	2,60	C. wuellerstorfi
56,94	0,92	3,02	C. wuellerstorfi
57,04	0,92	3,26	C. wuellerstorfi
57,14	0,72	3,34	C. wuellerstorfi
57,24	0,20	3,37	C. wuellerstorfi
57,34	0,38	3,32	C. wuellerstorfi
57,54	0,86	3,08	C. wuellerstorfi
57,64	0,23	2,88	C. wuellerstorfi
57,74	0,32	2,75	C. wuellerstorfi
57,84	0,96	2,57	C. wuellerstorfi
57,94	1,07	2,51	C. wuellerstorfi
58,04	0,75	2,38	C. wuellerstorfi
58,14	0,70	2,25	C. wuellerstorfi
58,24	0,85	2,31	C. wuellerstorfi
58,34	0,85	2,28	C. wuellerstorfi
58,44	-0,07	2,43	C. wuellerstorfi
58,54	-0,32	3,30	C. wuellerstorfi
58,84	0,37	3,39	C. wuellerstorfi
58,94	0,76	3,30	C. wuellerstorfi
59,04	0,87	3,11	C. wuellerstorfi
59,14	0,76	2,79	C. wuellerstorfi
59,24	0,95	2,88	C. wuellerstorfi
59,34	0,99	2,77	C. kullenbergi
59,54	1,10	2,48	C. kullenbergi
59,64	0,98	2,37	C. kullenbergi
59,74	0,70	2,02	C. wuellerstorfi
60,74	1,21	2,69	C. wuellerstorfi
60,84	0,75	2,52	C. wuellerstorfi
60,94	0,85	2,88	C. wuellerstorfi
61,04	1,04	2,63	C. wuellerstorfi
61,34	0,61	3,75	C. wuellerstorfi
61,74	0,90	3,18	C. wuellerstorfi
61,84	0,70	2,81	C. wuellerstorfi
61,94	1,03	2,70	C. wuellerstorfi
61,944	0,76	3,18	C. kullenbergi
62,34	1,24	2,84	C. wuellerstorfi
62,44	1,19	2,61	C. wuellerstorfi
62,54	1,08	2,88	C. wuellerstorfi
62,64	1,02	3,25	C. wuellerstorfi
62,74	1,10	3,59	C. wuellerstorfi
62,84	0,96	3,32	C. wuellerstorfi
63,24	1,06	2,93	C. wuellerstorfi
63,64	1,04	2,90	C. wuellerstorfi
63,74	1,36	2,96	C. wuellerstorfi
63,84	1,25	2,61	C. wuellerstorfi
63,94	0,98	2,56	C. wuellerstorfi
64,04	1,00	2,83	C. wuellerstorfi
64,14	0,92	3,17	Cibicidoides spp.
64,24	1,12	2,97	C. wuellerstorfi
64,34	1,14	2,69	C. wuellerstorfi
64,44	0,04	2,95	C. wuellerstorfi
64,73	1,21	2,74	C. wuellerstorfi
64,83	0,96	2,42	C. kullenbergi
64,84	1,34	2,57	C. wuellerstorfi
64,93	1,10	2,41	C. wuellerstorfi
64,94	0,83	2,51	C. kullenbergi
65,03	1,00	2,53	C. wuellerstorfi
65,23	0,89	3,22	C. wuellerstorfi
65,33	0,81	2,37	C. wuellerstorfi
65,63	0,58	3,16	C. wuellerstorfi
65,83	0,70	3,14	C. wuellerstorfi
66,03	1,09	2,95	C. wuellerstorfi
66,13	1,04	2,83	C. wuellerstorfi
66,73	1,06	2,67	C. wuellerstorfi
66,83	-0,08	3,20	C. wuellerstorfi
67,03	-0,25	3,10	C. wuellerstorfi
67,23	0,64	3,31	C. wuellerstorfi
67,43	0,91	2,87	C. wuellerstorfi
67,53	0,86	2,97	C. wuellerstorfi
67,63	0,74	2,67	C. wuellerstorfi
67,93	0,60	2,73	C. wuellerstorfi
68,23	0,85	2,83	C. wuellerstorfi
68,33	0,87	2,75	C. wuellerstorfi
68,83	0,93	3,76	C. wuellerstorfi
69,13	0,67	2,97	C. wuellerstorfi
70,43	0,61	3,57	C. wuellerstorfi
70,53	0,74	3,49	C. wuellerstorfi
70,63	-0,21	3,07	C. wuellerstorfi
70,73	-0,29	2,75	C. wuellerstorfi
70,93	0,73	2,96	C. wuellerstorfi
71,13	0,89	2,98	C. kullenbergi
71,23	0,84	2,66	C. kullenbergi
71,33	0,43	3,00	C. kullenbergi
