ODP 927        
         
5¡27.7N 44¡28.8W 3326m       
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Site Hole Core Sect Type  top mcd d18O d13C species
927 A 2 H 6 108 18.99 3.23 -0.30 C.wuellerstorfi
927 B 3 H 3 13 19.04 3.01 0.83 C.wuellerstorfi
927 B 3 H 3 33 19.24 2.48 1.15 C.wuellerstorfi
927 B 3 H 3 33 19.24 2.23 1.34 C.wuellerstorfi
927 B 3 H 3 43 19.34 2.33 1.30 C.wuellerstorfi
927 B 3 H 3 53 19.44 2.37 1.15 C.wuellerstorfi
927 B 3 H 3 53 19.44 2.28 1.31 C.wuellerstorfi
927 B 3 H 3 63 19.54 2.34 1.21 C.wuellerstorfi
927 B 3 H 3 93 19.84 3.95 -0.37 C.wuellerstorfi
927 B 3 H 3 103 19.94 4.08 -0.34 C.wuellerstorfi
927 B 3 H 3 113 20.04 4.32 -0.25 C.wuellerstorfi
927 B 3 H 3 133 20.24 4.44 -0.65 N.umbonifera
927 B 3 H 3 143 20.34 4.17 -0.11 C.wuellerstorfi
927 B 3 H 4 13 20.54 4.23 -0.17 C.wuellerstorfi
927 B 3 H 4 43 20.84 3.89 -0.21 C.wuellerstorfi
927 B 3 H 4 53 20.94 3.93 0.17 C.wuellerstorfi
927 B 3 H 4 53 20.94 3.94 0.21 C.wuellerstorfi
927 B 3 H 4 63 21.04 3.65 0.30 C.wuellerstorfi
927 B 3 H 4 73 21.14 3.85 -0.15 C.wuellerstorfi
927 B 3 H 4 83 21.24 3.90 -0.34 C.wuellerstorfi
927 B 3 H 4 93 21.34 3.82 0.37 C.wuellerstorfi
927 B 3 H 4 93 21.34 3.88 -0.17 C.wuellerstorfi
927 B 3 H 4 103 21.44 4.01 0.02 C.wuellerstorfi
927 B 3 H 4 113 21.54 3.56 0.53 C.wuellerstorfi
927 B 3 H 4 143 21.84 3.77 -0.01 C.wuellerstorfi
927 B 3 H 5 3 21.94 3.87 0.42 C.wuellerstorfi
927 B 3 H 5 23 22.14 3.71 0.25 C.wuellerstorfi
927 B 3 H 5 33 22.24 3.55 0.26 C.wuellerstorfi
927 B 3 H 5 33 22.24 3.76 0.44 C.wuellerstorfi
927 B 3 H 5 43 22.34 3.39 0.61 C.wuellerstorfi
927 B 3 H 5 53 22.44 3.42 1.22 C.wuellerstorfi
927 B 3 H 5 73 22.64 3.20 0.89 C.spp.
927 B 3 H 5 83 22.74 3.04 1.37 C.wuellerstorfi
927 B 3 H 5 93 22.84 3.11 1.05 C.wuellerstorfi
927 B 3 H 5 103 22.94 2.69 1.17 C.wuellerstorfi
927 B 3 H 5 113 23.04 2.77 -0.06 C.wuellerstorfi
927 B 3 H 5 123 23.14 2.63 0.72 C.wuellerstorfi
927 C 3 H 1 138 23.4 2.92 1.12 C.wuellerstorfi
927 C 3 H 1 148 23.5 2.83 1.49 C.wuellerstorfi
927 C 3 H 2 35 23.87 3.13 1.26 C.wuellerstorfi
927 C 3 H 2 35 23.87 3.15 1.48 C.wuellerstorfi
927 C 3 H 2 45 23.97 3.29 1.44 C.wuellerstorfi
927 C 3 H 2 55 24.07 3.28 1.50 C.wuellerstorfi
927 C 3 H 2 65 24.17 2.92 1.23 C.cicatricosus
927 C 3 H 2 65 24.17 3.09 1.52 C.wuellerstorfi
927 C 3 H 2 75 24.27 3.15 1.49 C.wuellerstorfi
927 C 3 H 2 115 24.67 2.96 0.80 C.cicatricosus
927 C 3 H 2 125 24.77 3.03 0.76 C.cicatricosus
927 C 3 H 2 135 24.87 3.83 0.42 C.wuellerstorfi
927 C 3 H 2 145 24.97 3.85 0.33 C.wuellerstorfi
927 C 3 H 3 5 25.07 3.79 0.62 C.wuellerstorfi
927 C 3 H 3 5 25.07 3.73 0.68 C.wuellerstorfi
927 C 3 H 3 15 25.17 3.84 0.39 C.wuellerstorfi
927 C 3 H 3 25 25.27 3.86 0.73 C.wuellerstorfi
927 C 3 H 3 35 25.37 3.72 0.60 C.wuellerstorfi
927 C 3 H 3 45 25.47 3.70 0.22 C.wuellerstorfi
927 C 3 H 3 65 25.67 3.56 0.76 C.wuellerstorfi
927 C 3 H 3 75 25.77 3.22 1.00 C.wuellerstorfi
927 C 3 H 3 95 25.97 3.26 0.76 C.wuellerstorfi
927 C 3 H 3 95 25.97 2.85 0.82 C.wuellerstorfi
927 C 3 H 3 105 26.07 3.28 0.87 C.wuellerstorfi
927 C 3 H 3 115 26.17 3.15 0.86 C.wuellerstorfi
927 C 3 H 3 125 26.27 2.70 1.06 C.wuellerstorfi
927 C 3 H 3 135 26.37 2.42 1.15 C.wuellerstorfi
927 C 3 H 3 145 26.47 2.63 1.22 C.wuellerstorfi
927 C 3 H 4 5 26.57 3.48 0.04 C.wuellerstorfi
927 C 3 H 4 15 26.67 3.59 -0.03 C.wuellerstorfi
927 C 3 H 4 35 26.87 3.50 0.17 C.wuellerstorfi
927 C 3 H 4 45 26.97 3.19 1.13 C.wuellerstorfi
927 C 3 H 4 55 27.07 3.04 0.11 C.wuellerstorfi
