EPICA Dome C Ice Cores Insoluble Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Cores Insoluble Dust Data
LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)


CONTRIBUTORS: Barbara Delmonte, 
Laboratoire de Glaciologie et de Geophysique de l'Environnement, 
BP 96, 38402 St Martin d'Heres Cedex, France.


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-040


SUGGESTED DATA CITATION: Delmonte, B., et al. 2004.
EPICA Dome C Ice Cores Insoluble Dust Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-040.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


ABSTRACT:
The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 740 kyr BP


DESCRIPTION: 
Concentration of insoluble dust in the EPICA Dome C cores, 100-3138 m depth.

Dust concentration and size distribution were measured by a 256 channel 
CoulterCounter, set to register particles in the size range from 0.7-20 µm. 
In calculating mass concentrations, density was taken as 2500 kg m-3.  
Ages are given on timescale EDC2 (EPICA Community Members, Eight glacial 
cycles from an Antarctic ice core, Nature, 429 (6992), 623-628, 2004).




DATA:  
Col 1: Depth / m
Col 2: Age in years before 1950, EDC2 timescale
Col 3: Mass of dust in parts per billion (micrograms of dust per litre of meltwater)


     Depth/m        Age       Dust mass
      897.08       53546      106.06
      903.03       54028      173.51
      908.08       54465      156.37
      913.59       54949      194.83
      919.08       55408       168.6
      924.58       55832       51.93
       930.1       56268       45.73
      935.58       56698       67.12
      941.08       57104       51.46
      946.58       57519        51.3
      952.57       57986       83.23
      957.58       58385      246.15
      963.08       58854      340.25
      968.58       59317       88.05
      974.08       59797       136.8
      979.58       60301      267.49
      985.08       60838         703
      990.58       61404      392.16
      996.08       61960      309.01
     1001.58       62490      376.79
     1007.08       63061      249.19
     1012.58       63629       945.5
     1018.08       64224      289.81
     1023.59       64817      471.01
     1029.14       65416       842.5
     1034.58       65989         689
     1040.08       66560      283.93
     1045.58       67152      319.44
     1051.13       67729      152.48
     1056.58       68254       75.61
     1062.08       68724       34.42
     1067.58       69211       42.41
     1073.08       69717       23.78
     1078.58       70251      209.85
     1084.08       70813      183.38
     1089.58       71324      110.62
     1095.08       71803       67.12
   1100.5825       72252        40.5
     1106.08       72699       35.11
     1111.58       73187       72.71
     1117.08       73720       119.4
     1122.58       74242      221.95
     1128.08       74754       87.96
     1133.58       75256      159.38
     1139.08       75767       63.96
     1144.58       76261       89.05
    1150.085       76756       93.34
    1155.585       77223       86.14
    1161.085       77690       44.08
   1166.5975       78150       68.15
    1172.085       78612       81.95
    1177.585       79074       36.66
    1183.085       79507       57.63
    1188.585       79937       39.42
    1194.085       80362       86.56
    1199.585       80779       34.08
    1205.085       81197       38.83
    1210.585       81624       18.24
    1216.085       82062       75.15
    1221.585       82516       30.48
    1227.085       82974        81.9
    1232.585       83462       68.54
    1238.085       83967       15.36
    1243.585       84500       89.01
    1254.585       85638      129.87
    1260.085       86196       77.45
    1265.515       86723       97.84
    1276.585       87776       36.49
    1282.085       88334       74.97
    1287.585       88906       84.73
    1293.085       89461        56.2
    1298.585       90006       21.26
    1304.085       90540      101.66
    1309.585       91083       33.39
    1315.085       91620       22.59
    1320.585       92150       51.38
    1326.085       92657       33.11
    1331.585       93175       21.22
   1337.0825       93703       58.33
    1342.585       94238       39.01
    1348.085       94774       30.87
    1353.585       95304       49.86
   1359.1025       95834       51.13
    1364.585       96356       36.15
    1370.085       96899       50.58
    1375.585       97441       63.83
    1381.085       97975        66.2
    1386.585       98480       62.73
    1392.085       99014       61.56
    1397.585       99558       31.63
    1403.085      100120       35.26
    1408.585      100688       56.36
    1414.085      101278      137.35
    1419.585      101869       51.12
    1425.085      102468       91.82
    1430.585      103078       45.32
    1436.085      103697       26.02
    1441.585      104326       24.65
    1447.635      105030       28.19
    1452.585      105614       59.66
    1458.085      106275       46.64
    1463.585      106944       43.91
    1469.085      107599        65.8
    1474.585      108240       22.11
    1485.585      109506       36.87
    1491.085      110123       58.18
