EPICA Dome C Core EDC96 Dielectric Profiling Data 
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: EPICA Dome C Core EDC96 Dielectric Profiling Data 
LAST UPDATE: 3/2003 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Eric W. Wolff, British Antarctic Survey

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2003-011

SUGGESTED DATA CITATION: Wolff, E.W., et al., 2003,
EPICA Dome C Core EDC96 Dielectric Profiling Data, 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2003-011. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES: 
Wolff, E.W., Basile, I., Petit, J.-R. and Schwander, J., 1999, 
Comparison of Holocene electrical records from Dome C and Vostok, 
Antarctica. Ann. Glaciol., 29:89-93. 

Schwander, J., Jouzel, J., Hammer, C.U., Petit, J.-R., Udisti, R. 
and Wolff, E.W., 2001, A tentative chronology for the EPICA Dome 
Concordia ice core. Geophys. Res. Lett., 28:4243-4246.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  45 - 0 KYrBP 



DESCRIPTION: 
Dielectric profiling data from the EDC96 EPICA Dome C core. 
Data are presented in 1m. resolution.
Timescale information is included.
Please see file edc96_dep.txt for 2 cm. resolution data.


DATA:
1.
Dielectric profiling data from the EDC96 EPICA Dome C core. 
The data are at 1 m average. 
Depths are according to the core processing log (m), 
ages according to timescale EDC1 (0 BP= 1.1.1950)
and conductivity at 100 kHz, corrected to -15 deg C (S/m). 


Depth   Depth      Age    Age         DEP condy
Top(m.) Bottom     Top   Bottom(yrBP)   S/m

  266     267     8280    8315        1.23E-05
  267     268     8315    8350        1.31E-05
  268     269     8350    8385        1.31E-05
  269     270     8385    8419        1.36E-05
  270     271     8419    8454        1.52E-05
  271     272     8454    8488        1.28E-05
  272     273     8488    8522        1.21E-05
  273     274     8522    8557        1.26E-05
  274     275     8557    8591        1.32E-05
  275     276     8591    8626        1.44E-05
  276     277     8626    8660        1.38E-05
  277     278     8660    8695        1.52E-05
  278     279     8695    8729        1.42E-05
  279     280     8729    8762        1.48E-05
  280     281     8762    8796        1.54E-05
  281     282     8796    8830        1.65E-05
  282     283     8830    8864        1.67E-05
  283     284     8864    8897        1.92E-05
  284     285     8897    8931        1.65E-05
  285     286     8931    8965        1.53E-05
  286     287     8965    8999        1.37E-05
  287     288     8999    9033        1.58E-05
  288     289     9033    9066        1.34E-05
  289     290     9066    9099        1.68E-05
  290     291     9099    9131        1.95E-05
  291     292     9131    9164        1.71E-05
  292     293     9164    9196        1.83E-05
  293     294     9196    9229        1.87E-05
  294     295     9229    9261        1.96E-05
  295     296     9261    9293        1.49E-05
  296     297     9293    9326        1.79E-05
  297     298     9326    9358        1.48E-05
  298     299     9358    9390        1.45E-05
  299     300     9390    9422        1.35E-05
  300     301     9422    9453        1.45E-05
  301     302     9453    9484        1.53E-05
  302     303     9484    9515        1.98E-05
  303     304     9515    9546        1.76E-05
  304     305     9546    9578        1.92E-05
  305     306     9578    9609        2.07E-05
  306     307     9609    9641        1.85E-05
  307     308     9641    9673        1.70E-05
  308     309     9673    9705        1.82E-05
  309     310     9705    9737        1.49E-05
  310     311     9737    9769        1.53E-05
  311     312     9769    9801        1.61E-05
  312     313     9801    9832        1.75E-05
  313     314     9832    9864        1.52E-05
  314     315     9864    9895        1.51E-05
  315     316     9895    9926        1.88E-05
  316     317     9926    9958        1.65E-05
  317     318     9958    9989        1.58E-05
  318     319     9989   10021        1.62E-05
  319     320    10021   10054        1.58E-05
  320     321    10054   10086        1.47E-05
  321     322    10086   10119        1.64E-05
  322     323    10119   10152        1.65E-05
  323     324    10152   10184        1.47E-05
  324     325    10184   10217        1.63E-05
  325     326    10217   10249        2.05E-05
  326     327    10249   10281        1.62E-05
  327     328    10281   10312        1.46E-05
  328     329    10312   10344        1.50E-05
  329     330    10344   10377        1.93E-05
  330     331    10377   10409        1.63E-05
  331     332    10409   10442        1.79E-05
  332     333    10442   10476        1.62E-05
  333     334    10476   10510        1.55E-05
  334     335    10510   10544        1.48E-05
  335     336    10544   10577        1.69E-05
  336     337    10577   10612        1.89E-05
  337     338    10612   10646        1.85E-05
  338     339    10646   10680        1.94E-05
  339     340    10680   10714        1.99E-05
  340     341    10714   10748        1.83E-05
  341     342    10748   10783        1.70E-05
  342     343    10783   10817        1.90E-05
  343     344    10817   10852        1.92E-05
  344     345    10852   10886        2.20E-05
  345     346    10886   10921        1.90E-05
  346     347    10921   10956        1.87E-05
  347     348    10956   10990        1.73E-05
  348     349    10990   11025        1.74E-05
  349     350    11025   11059        1.82E-05
  350     351    11059   11093        2.08E-05
  351     352    11093   11127        1.83E-05
  352     353    11127   11162        1.97E-05
  353     354    11162   11196        1.86E-05
  354     355    11196   11230        1.53E-05
  355     356    11230   11265        1.90E-05
  356     357    11265   11299        1.72E-05
  357     358    11299   11334        1.40E-05
  358     359    11334   11369        1.37E-05
  359     360    11369   11404        1.45E-05
  360     361    11404   11439        1.41E-05
  361     362    11439   11475        1.39E-05
  362     363    11475   11511        1.42E-05
  363     364    11511   11547        1.47E-05
  364     365    11547   11584        1.38E-05
  365     366    11584   11622        1.56E-05
  366     367    11622   11661        1.40E-05
  367     368    11661   11701        1.31E-05
  368     369    11701   11741        1.24E-05
  369     370    11741   11782        1.23E-05
  370     371    11782   11824        1.25E-05
  371     372    11824   11867        1.31E-05
  372     373    11867   11910        1.30E-05
  373     374    11910   11954        1.23E-05
  374     375    11954   11999        1.22E-05
  375     376    11999   12044        1.30E-05
  376     377    12044   12089        1.38E-05
  377     378    12089   12136        1.32E-05
  378     379    12136   12183        1.13E-05
  379     380    12183   12230        1.24E-05
  380     381    12230   12279        1.17E-05
  381     382    12279   12328        1.09E-05
  382     383    12328   12378        1.17E-05
  383     384    12378   12429        1.08E-05
  384     385    12429   12481        1.07E-05
  385     386    12481   12533        1.20E-05
  386     387    12533   12584        1.24E-05
  387     388    12584   12636        1.45E-05
  388     389    12636   12687        1.22E-05
  389     390    12687   12738        1.58E-05
  390     391    12738   12789        1.19E-05
  391     392    12789   12840        1.16E-05
  392     393    12840   12890        1.19E-05
  393     394    12890   12941        1.45E-05
  394     395    12941   12990        1.27E-05
  395     396    12990   13040        1.38E-05
  396     397    13040   13089        1.22E-05
  397     398    13089   13139        1.41E-05
  398     399    13139   13189        1.29E-05
  399     400    13189   13239        1.20E-05
  400     401    13239   13289        1.38E-05
  401     402    13289   13339        1.21E-05
  402     403    13339   13390        1.28E-05
  403     404    13390   13441        1.20E-05
  404     405    13441   13492        1.33E-05
  405     406    13492   13544        1.19E-05
  406     407    13544   13595        1.15E-05
  407     408    13595   13646        1.20E-05
  408     409    13646   13697        1.25E-05
  409     410    13697   13747        1.26E-05
  410     411    13747   13796        1.29E-05
  411     412    13796   13845        1.21E-05
  412     413    13845   13894        1.31E-05
  413     414    13894   13942        1.31E-05
  414     415    13942   13989        1.20E-05
  415     416    13989   14037        1.33E-05
  416     417    14037   14083        1.29E-05
  417     418    14083   14129        1.27E-05
  418     419    14129   14175        1.28E-05
  419     420    14175   14222        1.31E-05
  420     421    14222   14269        1.37E-05
  421     422    14269   14318        1.16E-05
  422     423    14318   14368        1.39E-05
  423     424    14368   14419        1.26E-05
  424     425    14419   14472        1.24E-05
  425     426    14472   14526        1.32E-05
  426     427    14526   14580        1.40E-05
  427     428    14580   14634        1.42E-05
  428     429    14634   14687        1.54E-05
  429     430    14687   14741        1.47E-05
  430     431    14741   14794        1.42E-05
  431     432    14794   14848        1.23E-05
  432     433    14848   14901        1.43E-05
  433     434    14901   14956        1.30E-05
  434     435    14956   15011        1.49E-05
  435     436    15011   15066        1.22E-05
  436     437    15066   15123        1.24E-05
  437     438    15123   15181        1.24E-05
  438     439    15181   15240        1.69E-05
  439     440    15240   15300        1.33E-05
  440     441    15300   15360        1.24E-05
  441     442    15360   15420        1.36E-05
  442     443    15420   15481        1.31E-05
  443     444    15481   15541        1.52E-05
  444     445    15541   15602        1.47E-05
  445     446    15602   15664        1.59E-05
  446     447    15664   15726        1.49E-05
  447     448    15726   15789        1.54E-05
  448     449    15789   15853        1.60E-05
  449     450    15853   15917        1.78E-05
  450     451    15917   15983        1.87E-05
  451     452    15983   16050        1.87E-05
  452     453    16050   16117        1.51E-05
  453     454    16117   16184        1.71E-05
  454     455    16184   16253        2.04E-05
  455     456    16253   16322        1.83E-05
  456     457    16322   16392        1.86E-05
  457     458    16392   16463        1.50E-05
  458     459    16463   16536        9.62E-06
  459     460    16536   16609        1.14E-05
  460     461    16609   16685        1.38E-05
  461     462    16685   16762        1.81E-05
  462     463    16762   16840        1.82E-05
  463     464    16840   16919        1.77E-05
  464     465    16919   16999        1.61E-05
  465     466    16999   17079        1.62E-05
  466     467    17079   17161        1.62E-05
  467     468    17161   17243        2.02E-05
  468     469    17243   17327        1.76E-05
  469     470    17327   17412        1.47E-05
  470     471    17412   17498        1.63E-05
  471     472    17498   17586        2.01E-05
  472     473    17586   17674        1.85E-05
  473     474    17674   17763        1.62E-05
  474     475    17763   17853        1.48E-05
  475     476    17853   17942        1.43E-05
  476     477    17942   18032        1.56E-05
  477     478    18032   18122        1.44E-05
  478     479    18122   18212        1.52E-05
  479     480    18212   18303        1.62E-05
  480     481    18303   18393        1.49E-05
  481     482    18393   18484        1.89E-05
  482     483    18484   18575        1.78E-05
  483     484    18575   18666        1.57E-05
  484     485    18666   18756        1.43E-05
  485     486    18756   18847        1.70E-05
  486     487    18847   18937        1.71E-05
  487     488    18937   19028        1.60E-05
  488     489    19028   19119        1.54E-05
  489     490    19119   19209        1.63E-05
  490     491    19209   19300        1.66E-05
  491     492    19300   19390        1.71E-05
  492     493    19390   19480        1.85E-05
  493     494    19480   19570        1.65E-05
  494     495    19570   19660        1.93E-05
  495     496    19660   19751        1.57E-05
  496     497    19751   19843        1.92E-05
  497     498    19843   19934        1.66E-05
  498     499    19934   20026        1.58E-05
  499     500    20026   20116        1.70E-05
  500     501    20116   20207        1.60E-05
  501     502    20207   20296        1.66E-05
  502     503    20296   20386        1.60E-05
  503     504    20386   20475        1.57E-05
  504     505    20475   20564        1.43E-05
  505     506    20564   20653        1.61E-05
  506     507    20653   20742        1.76E-05
  507     508    20742   20831        1.62E-05
  508     509    20831   20920        1.52E-05
  509     510    20920   21009        1.62E-05
  510     511    21009   21099        1.89E-05
  511     512    21099   21189        1.64E-05
  512     513    21189   21279        1.76E-05
  513     514    21279   21369        1.66E-05
  514     515    21369   21460        1.76E-05
  515     516    21460   21550        1.60E-05
  516     517    21550   21640        1.50E-05
  517     518    21640   21730        1.66E-05
  518     519    21730   21820        1.62E-05
  519     520    21820   21910        1.68E-05
  520     521    21910   21999        1.58E-05
  521     522    21999   22089        1.60E-05
  522     523    22089   22178        1.55E-05
  523     524    22178   22268        1.54E-05
  524     525    22268   22357        1.56E-05
  525     526    22357   22448        1.45E-05
