Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
54.44	410.52	1.08	2.70
54.49	410.85	0.97	2.59
54.51	411.01	1.09	2.71
54.54	411.18	0.64	2.75
54.56	411.31	0.89	2.71
54.59	411.51	0.84	2.77
54.64	411.84	0.85	2.78
54.66	412.00	0.88	2.70
54.69	412.17	0.84	2.72
54.74	412.50	0.97	2.73
54.76	412.63	1.04	2.79
54.79	412.83	0.67	2.77
54.81	412.99	1.02	2.80
54.84	413.16	0.78	2.75
54.89	413.49	0.90	2.90
54.91	413.65	0.93	2.85
54.96	413.95	0.93	2.96
55.01	414.31	1.12	2.72
55.04	414.48	0.89	2.95
55.09	414.81	0.63	3.03
55.11	414.97	0.72	2.88
55.14	415.14	0.46	2.90
55.16	415.27	0.81	2.93
55.21	415.64	-0.01	2.99
55.29	416.13	0.76	2.85
55.31	416.30	0.20	3.07
55.34	416.46	0.66	3.00
55.36	416.63	0.63	3.12
55.39	416.79	0.54	3.10
55.41	416.96	0.62	3.18
55.46	417.25	0.10	3.15
55.51	417.62	0.29	3.01
55.54	417.78	0.64	3.04
55.59	418.11	0.33	3.02
55.61	418.28	0.48	3.24
55.64	418.44	0.13	3.27
55.66	418.58	0.41	3.26
55.69	418.77	0.67	3.24
55.71	418.94	0.50	3.21
55.74	419.10	0.01	3.28
55.79	419.43	-0.04	3.33
55.81	419.60	0.45	3.22
55.86	419.90	0.37	3.42
55.91	420.26	0.55	3.19
55.94	420.42	0.13	3.41
55.99	420.76	0.14	3.35
56.01	420.92	0.28	3.35
56.04	421.09	0.45	3.31
56.06	421.22	0.23	3.55
56.31	422.90	0.49	3.31
56.39	423.40	0.26	3.35
56.41	423.56	0.24	3.32
56.66	425.18	-0.10	3.52
56.91	426.87	-0.38	3.40
57.40	430.07	-0.29	3.45
57.48	430.60	-0.43	3.53
57.51	430.83	-0.51	3.67
57.55	431.06	-0.57	3.66
57.60	431.39	-0.49	4.09
57.85	433.04	-0.28	4.24
57.90	433.37	-0.10	4.43
57.93	433.57	0.01	4.52
57.96	433.80	0.13	4.58
58.00	434.04	0.16	4.84
58.11	434.93	0.34	4.81
58.15	435.20	0.29	4.73
58.20	435.58	0.22	4.75
58.30	436.36	0.17	4.73
58.38	436.98	0.18	4.77
58.41	437.25	0.33	4.87
58.45	437.52	0.41	4.64
58.53	438.14	0.30	4.60
58.56	438.41	0.38	4.78
58.75	439.84	0.02	4.58
58.79	440.15	0.04	4.50
58.84	440.53	-0.23	4.28
58.86	440.73	-0.24	4.34
59.47	445.40	0.23	4.70
59.52	445.79	0.41	4.71
59.54	445.98	-0.11	4.60
59.57	446.18	0.35	4.64
59.59	446.33	0.36	4.57
59.62	446.56	0.12	4.59
59.74	447.53	0.41	4.49
59.77	447.72	0.60	4.42
59.79	447.88	0.40	4.56
59.82	448.11	0.56	4.47
59.87	448.49	0.53	4.50
59.92	448.88	0.32	4.39
59.94	449.07	0.71	4.42
59.97	449.27	0.54	4.44
59.99	449.46	0.57	4.46
60.02	449.65	0.05	4.39
60.04	449.85	0.22	4.35
60.09	450.19	0.32	4.26
60.12	450.43	0.32	4.33
60.17	450.81	0.45	4.10
60.22	451.20	0.28	4.25
60.24	451.39	0.31	4.11
60.27	451.59	0.36	4.11
60.29	451.74	0.61	4.39
60.32	451.97	0.20	4.43
60.37	452.36	0.48	4.40
60.42	452.75	0.34	4.34
60.44	452.94	0.44	4.13
60.49	453.29	0.09	4.36
60.52	453.52	0.21	4.43
60.62	454.29	-0.36	3.73
60.64	454.49	0.06	4.00
60.69	454.83	0.38	4.18
60.72	455.06	0.58	4.43
60.77	455.45	0.50	4.21
60.82	455.84	0.51	4.30
60.84	456.03	0.27	4.13
60.87	456.22	-0.16	3.98
60.92	456.61	0.57	4.42
61.02	457.38	0.43	4.17
61.04	457.58	0.39	3.87
61.07	457.77	0.00	3.68
61.09	457.93	-0.02	4.01
61.12	458.16	-0.12	4.07
61.17	458.54	0.81	4.34
61.22	458.93	0.26	4.19
61.24	459.12	0.70	4.14
61.27	459.32	0.60	4.14
61.29	459.47	0.54	3.96
61.32	459.70	0.34	4.21
61.42	460.48	0.84	4.14
61.44	460.67	0.03	3.89
61.47	460.86	0.33	4.21
61.49	461.06	0.08	4.16
61.52	461.25	0.35	4.24
61.54	461.44	0.88	4.02
61.59	461.79	0.53	3.94
61.67	462.41	0.48	4.06
61.72	462.80	0.84	3.99
61.74	462.99	0.70	4.20
61.77	463.18	1.00	4.20
61.92	464.34	0.62	4.01
62.02	465.11	0.86	3.86
62.12	465.89	0.64	3.73
62.14	466.08	0.76	3.66
62.17	466.27	0.94	3.71
62.22	466.66	1.11	3.69
62.27	467.05	0.83	3.62
62.32	467.43	0.61	3.72
62.34	467.63	1.11	3.52
62.37	467.82	0.72	3.60
62.39	467.97	0.40	3.53
62.42	468.21	0.73	3.44
62.47	468.59	0.93	3.50
62.54	469.17	0.35	3.51
62.57	469.37	1.03	3.63
62.59	469.52	0.67	3.65
62.62	469.75	-0.22	3.14
62.67	470.14	1.23	3.45
62.74	470.72	0.44	3.46
62.77	470.91	0.42	3.39
62.82	471.30	0.55	3.94
62.92	472.07	1.05	3.90
62.96	472.38	1.05	3.81
63.01	472.77	1.22	3.72
63.03	472.96	1.00	3.70
63.08	473.31	0.36	3.88
63.11	473.54	0.83	3.80
63.21	474.31	0.84	3.79
63.23	474.51	0.64	3.69
63.28	474.85	0.77	3.67
63.31	475.09	0.96	3.64
63.36	475.47	1.02	3.59
63.41	475.86	0.64	3.56
63.43	476.05	0.76	3.58
63.46	476.25	0.24	3.61
63.48	476.40	0.89	3.45
63.51	476.63	0.79	3.50
63.56	477.02	1.36	3.56
63.61	477.41	1.08	3.36
63.63	477.60	1.25	3.48
63.66	477.79	0.36	3.35
63.68	477.95	0.72	3.29
63.71	478.18	0.94	3.37
63.76	478.56	1.48	3.49
63.81	478.95	1.54	3.56
63.83	479.14	1.53	3.26
63.86	479.34	0.59	3.42
63.88	479.49	1.13	3.35
63.91	479.72	1.33	3.45
63.96	480.11	1.17	3.21
64.01	480.50	1.38	3.13
64.03	480.69	1.28	3.15
64.06	480.88	1.16	3.18
64.08	481.14	1.36	3.09
64.11	481.49	1.27	3.19
64.13	481.84	1.39	3.13
64.16	482.18	1.32	3.18
64.21	482.88	1.47	3.16
64.26	483.58	1.45	3.08
64.31	484.27	1.23	3.16
64.33	484.62	0.68	3.10
64.36	484.97	1.10	3.07
64.38	485.25	1.41	3.22
64.41	485.66	1.30	3.25
64.46	486.36	1.18	3.29
64.51	487.06	1.14	3.27
64.53	487.40	1.31	3.24
64.56	487.75	1.18	3.27
64.58	488.03	1.35	3.30
64.61	488.45	1.39	3.26
64.66	489.14	1.38	3.27
64.71	489.84	1.59	3.27
64.73	490.19	1.48	3.32
64.76	490.54	1.25	3.24
64.78	490.81	1.47	3.27
64.81	491.23	1.27	3.27
64.86	491.93	1.40	3.26
64.91	492.62	1.29	3.33
64.93	492.97	1.30	3.27
64.96	493.32	1.44	3.25
65.01	494.02	1.28	3.25
65.06	494.71	1.19	3.27
65.13	495.76	1.41	3.30
65.33	498.54	1.26	3.52
65.53	501.32	0.92	3.91
65.57	501.88	1.12	3.73
65.60	502.41	1.42	3.56
65.62	502.77	1.36	3.74
65.65	503.31	1.14	3.49
65.67	503.66	1.42	3.69
65.70	504.20	1.22	3.74
65.72	504.55	0.95	3.72
65.75	505.09	1.43	3.75
65.77	505.44	1.25	3.34
65.80	505.98	1.03	3.84
65.87	507.23	1.44	3.72
65.90	507.76	1.32	3.61
65.97	509.01	1.28	3.36
66.00	509.54	1.31	3.52
66.02	509.90	1.20	3.47
66.07	510.79	1.13	3.36
66.10	511.33	0.98	3.34
66.12	511.68	1.26	3.46
66.15	512.22	1.37	3.77
66.17	512.57	1.10	3.15
66.22	513.47	1.30	3.37
66.25	514.00	1.05	2.73
66.27	514.25	1.18	3.33
66.37	515.48	0.70	2.70
66.57	517.95	0.73	3.49
66.72	519.81	0.39	3.67
66.75	520.18	0.27	3.52
66.77	520.42	0.22	3.95
66.80	520.79	0.91	4.03
66.82	521.04	0.82	3.88
66.87	521.66	0.99	4.24
66.90	522.03	0.84	4.10
66.95	522.65	1.14	3.21
66.97	522.90	0.67	4.04
67.00	523.27	0.73	4.18
67.10	524.50	0.71	4.21
