# NOAA Paleoclimatology Program - Paleocean Site Data
# odp980_isot-fwc.txt
# Isotope data only
# File Created: 10-May-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Benjamin P. Flower
# Core/Site:      ODP980
# Latitude:       55.29.06N	( 55.485)
# Longitude:      14.42.06W	( -14.70167)
# Water Depth(m): 2168
#
# Publications:
#   Flower, B.P., D.W. Oppo, J.F. McManus, K.A. Venz, D.A. Hodell, and J.L. Cullen.
#     2000. North Atlantic intermediate to deep water circulation and chemical stratification
#     during the past 1 Myr. Paleoceanography 15(4):388-403.
#   Oppo, D.W., J.F. McManus, and J.L. Cullen. 1998. Abrupt climate events 500,000-340,000
#     years ago: Evidence from subpolar North Atlantic sediments.
#     Science 279:1335-1338.
#   McManus, J.F., D.W. Oppo, and J.L. Cullen. 1999. A 0.5 million year record of
#     millennial-scale climate variability in the North Atlantic. Science 283:971-975.
#------------------
#
# Description & Notes:
#   North Atlantic intermediate-deep water circulation during the past 1 Ma.
#   
#
# ODP980 C14 Dates
# 
#   calyrBP   calendar years B.P. (B.P. = 1950)
# 
#  Depth      calyrBP       Error+        Error-            Material    Lab Num.    Notes
#  0.5         636           25            25           G. bulloides          OS-34407            1H-01, 0-1 cm
#  1           711           35            35           N. pachyderma (r.)          OS-27541      1H-01, 0-2cm
#  1.5         895           35            35           G. bulloides          OS-34422            1H-01, 2-3 cm
#  6           636           30            30           N. pachyderma (r.)          OS-26146      1H-01, 5-7cm
#  36          1266          55            55           N. pachyderma (r.)          OS-26148      1H-01, 35-37cm
#  57.5        2847          30            30           N. pachyderma (r.)          OS-34414      1H-01, 57-58 cm
#  66          2708          35            35           N. pachyderma (r.)          OS-26149      1H-01, 65-67cm
#  74.5        3135          35            35           G. bulloides          OS-34409            1H-01, 74-75 cm
#  86          3571          40            40           N. pachyderma (r.)          OS-27542      1H-01, 85-87cm
#  104.5       4685          25            25           G. bulloides          OS-34408            1H-01, 104-105 cm
#  116         5240          50            50           G. bulloides          OS-27543            1H-01, 115-117cm
#  136         6672          65            65           N. pachyderma (r.)          OS-26151      1H-01, 135-137cm
#  161.5       7672          70            70           G. bulloides          OS-34411            1H-02, 11-12 cm
#  171         8013          50            50           N. pachyderma (r.)          OS-26147      1H-02, 20-22cm
#  196         9189          45            45           G. bulloides          OS-34415            1H-02, 45-47 cm
#  216         10307         45            45           G. bulloides          OS-34416            1H-02, 65-67 cm
#  231         10303         50            50           N. pachyderma (r.)          OS-26150      1H-02, 80-82cm
#  249.5       10471         70            70           G. bulloides          OS-34410            1H-02, 99-100 cm
#  296         12541         55            55           G. bulloides          OS-34417            1H-02, 145-147 cm
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP980
depth         yrBP          d13Cc.wuell   d18Oc.wuell   
 4166          321900        0.77          3.31         
 4171          322070        0.3           3.08         
 4191          322730        0.93          3.21         
 4211          323390        0.26          3.06         
 4231          324060        0.45          2.99         
 4251          324720        0.67          2.84         
 4261          325050        0.93          2.66         
 4271          325380        0.61          2.75         
 4281          325710        0.76          2.54         
 4291          326040        0.69          2.68         
 4301          326370        0.89          2.56         
 4311          326700        0.79          2.63         
 4316          326870        0.83          2.61         
 4321          327090        0.69          2.61         
 4331          327940        0.73          2.63         
 4361          330490        0.58          3.39         
 4381          332190        0.77          4.04         
 4411          334740        0.31          3.25         
 4421          335600       -0.25          3.14         
 4431          336450       -0.49          3.27         
 4441          337300        0.09          4.23         
 4451          338150        0.46          4.45         
 4461          339000        0.19          4.58         
 4471          339490        0.14          4.4          
 4481          339980        0.44          4.42         
 4491          340470        0.52          4.57         
 4501          340950        0.48          4.52         
 4504          341100        0.25          4.54         
 4524          342080        0.46          4.61         
 4544          343060        0.59          4.18         
 4564          344030        0.4           4.3          
 4584          345010        0.66          4.33         
 4589          345260        0.38          4.18         
 4594          345500       -0.04          4.27         
 4614          346480        0.36          4.3          
 4634          347450        0.46          3.88         
 4654          348430       -0.57          4.03         
 4674          349410       -0.05          3.88         
 4694          350390        0.32          4.08         
 4699          350610        0.47          4.05         
 4702          350750        0.66          4.18         
 4707          351000        0.47          4.08         
 4712          351240        0.58          4.09         
 4714          351360        0.63          3.99         
 4717          351490        0.51          3.97         
 4719          351580        0.62          4.12         
 4722          351730        0.5           3.93         
 4727          351980        0.61          4.02         
 4735          352550        0.92          4.13         
 4737          352650        0.71          4.11         
 4744          353160        0.95          3.28         
 4747          353330        0.92          3.93         
 4749          353470        0.48          3.88         
 4762          354360        0.94          4.06         
 4764          354530        0.58          3.87         
 4767          354700        0.8           3.88         
 4769          354840        0.89          4.13         
 4772          355040        0.74          3.83         
 4777          355380        0.86          4.02         
 4782          355730        0.78          3.93         
 4784          355900        0.77          3.62         
 4787          356070        0.9           3.77         
 4789          356210        0.64          3.84         
 4792          356410        1             3.83         
 4797          356750        0.76          3.79         
 4802          357090        1.07          3.87         
 4804          357260        1.04          3.76         
 4807          357440        0.62          3.81         
 4809          357570        0.74          3.72         
 4812          357780        0.46          3.7          
 4817          358120        0.48          3.69         
 4822          358460        0.8           4.1          
 4824          358630        1.01          3.9          
 4827          358800        0.96          4.05         
 4829          358940        0.81          4.13         
 4832          359150        0.65          4.06         
 4842          359830        0.97          4            
 4844          360000        0.83          3.46         
 4847          360170        0.98          3.96         
 4852          360510        0.81          3.89         
 4857          360850        0.79          3.91         
 4862          361200        0.65          3.38         
 4864          361370        0.64          3.73         
 4869          361680        0.88          3.79         
 4872          361880        0.57          3.82         
 4877          362220        0.78          3.8          
 4882          362560        0.42          3.87         
 4887          362910        0.38          3.79         
 4889          363080        0.61          3.58         
 4902          363930        0.89          3.65         
 4914          364790        1.07          3.62         
 4917          364960        0.61          3.6          
 4922          365300        0.34          3.63         
 4932          365980        0.77          3.55         
 4934          366150        0.87          3.49         
 4937          366320        0.35          3.64         
 4942          366670        0.66          3.51         
 4947          367010        0.83          3.57         
 4952          367350        0.76          3.4          
 4954          367520        0.86          3.44         
 4959          367830        0.64          3.4          
 4962          368080        0.58          3.48         
 4967          368920        0.5           3.37         
 4972          369750        0.84          3.67         
 4974          370170       -0.1           3.57         
 4977          370580        0.74          3.68         
 4979          370920        0.63          3.62         
 4982          371420        0.43          3.75         
 4989          372580        0.61          3.71         
 4994          373420        0.62          3.73         
 4999          374250        0.51          3.68         
 5001          374670        0.25          3.71         
 5004          375080        0.24          3.7          
 5006          375420        0.3           3.6          
 5009          375920        0.5           3.68         
 5019          376780        0.25          3.62         
 5021          376990       -0.06          3.51         
 5029          377610        0.41          3.58         
 5034          378020        0.42          3.55         
 5039          378440        0.5           3.45         
 5041          378640        0.78          3.47         
 5044          378850        0.2           3.43         
 5049          379260        0.35          3.32         
 5054          379680        0.5           3.21         
 5059          380090        0.47          3.3          
 5061          380300        0.13          3.37         
 5064          380500        0.69          3.21         
 5066          380670        0.34          3.21         
 5069          380920        0.38          3.21         
 5079          381740        0.37          3.55         
 5081          381950       -0.19          3.63         
 5084          382160        0.37          3.68         
 5086          382360       -0.11          3.58         
 5089          382570        0.86          3.46         
 5091          382770        0.4           3.25         
 5094          382980        0.78          3.46         
 5096          383150        0.55          3.42         
 5099          383390        0.68          3.19         
 5111          384430        0.51          3.26         
 5114          384630        0.98          3.22         
 5116          384800        1             3.21         
 5131          386080        0.58          3.18         
 5136          386450        0.24          3.15         
 5139          386700        0.59          3.22         
 5144          387110        0.92          2.95         
 5151          387730        0.88          3.02         
 5156          388100        0.56          3.08         
 5159          388350        0.63          2.97         
 5164          388760        0.83          3.22         
 5169          389180        0.38          3.15         
 5171          389380        0.9           3.04         
 5174          389590        0.73          2.96         
 5176          389760        0.89          3.06         
 5191          391040        0.89          3.04         
 5199          391660        1.06          2.86         
 5211          392690        1.06          2.85         
 5216          393060        0.69          2.79         
 5219          393310        0.5           2.89         
 5231          394340        1.13          2.79         
 5234          394550        0.87          3.1          
 5236          394750        0.96          2.78         
 5239          394960        0.76          2.67         
 5241          395170        1.1           2.9          
 5244          395370        1.1           2.68         
 5254          396200        0.98          2.69         
 5261          396820        0.86          2.81         
 5266          397190        1.06          2.66         
 5274          397850        1.17          2.64         
 5279          398270        0.47          2.61         
 5281          398470        1.04          2.63         
 5284          398680        1.1           2.37         
 5286          398840        0.96          2.62         
 5289          399090        1.1           2.56         
 5299          399920        1.13          2.62         
 5301          400130        0.88          2.55         
 5304          400330        1.02          2.52         
 5306          400500        1.12          2.71         
 5309          400750        1.09          2.4          
 5314          401160        1.11          2.66         
 5319          401570        1.04          2.59         
 5321          401780        1.24          2.6          
 5324          401980        1.14          2.5          
 5326          402150        0.97          2.64         
 5329          402400        0.99          2.52         
 5334          402810        0.95          2.53         
 5339          403220        1.16          2.56         
 5341          403430        1.04          2.57         
 5344          403640        0.94          2.62         
 5346          403800        1.04          2.63         
 5349          404050        1.19          2.53         
 5354          404460        1.18          2.6          
 5361          405070        1.05          2.64         
