mcd	c13(o/oo PDB)	o18(o/oo PDB)	species
37.79	0.60	2.90	C. wuellerstorfi
37.89	0.41	3.27	C. wuellerstorfi
37.99	0.49	3.56	C. wuellerstorfi
38.09	0.69	3.29	C. wuellerstorfi
38.19	0.60	3.61	C. spp.
38.29	0.42	3.45	C. wuellerstorfi
38.39	-0.31	3.46	C. wuellerstorfi
38.49	0.17	3.44	C. spp.
38.69	0.53	2.82	C. wuellerstorfi
38.79	0.47	2.85	C. wuellerstorfi
38.89	1.01	2.65	C. wuellerstorfi
38.99	0.74	2.57	C. wuellerstorfi
39.09	1.01	2.42	C. wuellerstorfi
39.19	0.79	2.85	C. wuellerstorfi
39.29	1.04	2.75	C. wuellerstorfi
39.39	1.07	2.91	C. wuellerstorfi
39.49	1.00	3.02	C. wuellerstorfi
39.59	0.67	3.22	C. wuellerstorfi
39.69	-0.06	3.17	C. wuellerstorfi
39.89	0.26	3.18	N. umbonifera
39.99	0.59	3.26	C. wuellerstorfi
40.09	0.10	3.24	C. wuellerstorfi
40.19	0.46	3.23	C. wuellerstorfi
40.29	0.67	2.75	C. wuellerstorfi
40.39	0.74	2.97	C. wuellerstorfi
40.49	0.42	3.32	C. wuellerstorfi
40.59	-0.58	3.50	C. wuellerstorfi
40.69	-0.73	3.80	N. umbonifera
40.79	-0.10	3.59	C. wuellerstorfi
40.89	0.59	3.51	C. wuellerstorfi
40.99	0.48	3.13	C. wuellerstorfi
41.09	-0.38	3.25	N. umbonifera
41.19	-0.49	3.09	C. wuellerstorfi
41.29	0.14	3.23	N. umbonifera
41.39	0.28	2.93	C. wuellerstorfi
41.49	1.07	2.72	C. wuellerstorfi
41.59	1.01	2.66	C. wuellerstorfi
41.69	0.77	2.63	C. wuellerstorfi
41.79	0.99	2.71	C. wuellerstorfi
41.89	0.50	2.97	C. wuellerstorfi
41.99	1.09	2.73	C. wuellerstorfi
42.09	1.19	2.80	C. wuellerstorfi
42.19	1.01	2.74	C. wuellerstorfi
42.29	0.83	2.83	C. wuellerstorfi
42.39	0.69	2.79	C. wuellerstorfi
42.49	0.85	2.82	C. wuellerstorfi
42.59	0.09	3.46	C. wuellerstorfi
42.69	0.42	3.49	C. wuellerstorfi
42.79	-0.18	3.71	C. wuellerstorfi
42.89	-0.23	3.73	C. wuellerstorfi
42.99	0.13	3.60	C. wuellerstorfi
43.09	-0.04	3.58	C. wuellerstorfi
43.19	-0.38	3.57	C. wuellerstorfi
43.29	0.52	3.26	C. wuellerstorfi
43.39	-0.62	3.41	C. wuellerstorfi
43.43	0.28	3.00	C. wuellerstorfi
43.63	0.21	3.40	C. wuellerstorfi
43.73	-0.06	2.94	C. wuellerstorfi
43.83	0.40	2.77	C. wuellerstorfi
43.93	0.64	2.89	C. wuellerstorfi
44.03	0.76	2.50	C. wuellerstorfi
44.13	0.65	2.47	C. wuellerstorfi
44.23	0.51	2.16	C. wuellerstorfi
44.33	-0.01	2.70	C. wuellerstorfi
44.43	-0.45	3.33	C. wuellerstorfi
44.73	-0.72	3.29	C. wuellerstorfi
44.83	-0.30	2.92	C. wuellerstorfi
45.03	0.25	3.04	C. wuellerstorfi
45.23	0.72	2.83	C. wuellerstorfi
45.33	0.73	2.84	C. wuellerstorfi
45.43	0.30	3.10	C. wuellerstorfi
45.53	0.41	3.10	C. wuellerstorfi
45.63	0.13	3.51	C. wuellerstorfi
45.73	0.21	3.31	C. wuellerstorfi
45.83	-0.01	3.23	C. wuellerstorfi
46.03	0.08	3.05	C. wuellerstorfi
46.13	-0.12	3.04	C. wuellerstorfi
46.23	0.59	2.82	C. wuellerstorfi
46.33	0.74	2.64	C. wuellerstorfi
46.43	0.69	2.53	C. wuellerstorfi
46.53	0.44	3.18	C. wuellerstorfi
46.63	0.42	3.24	C. wuellerstorfi
46.73	0.46	3.10	C. wuellerstorfi
46.83	0.34	3.20	C. wuellerstorfi
47.33	0.35	2.99	C. wuellerstorfi
47.43	0.71	2.51	C. wuellerstorfi
47.53	0.47	2.14	C. wuellerstorfi
47.63	0.37	2.58	C. wuellerstorfi
47.73	0.78	2.75	C. wuellerstorfi
47.83	0.41	3.12	C. wuellerstorfi
47.93	0.25	3.11	C. wuellerstorfi
48.03	0.46	3.15	C. wuellerstorfi
48.13	0.40	3.34	C. wuellerstorfi
48.33	-0.02	3.53	C. wuellerstorfi
48.43	0.33	3.01	C. wuellerstorfi
48.53	0.74	2.88	C. wuellerstorfi
48.63	0.85	2.62	C. wuellerstorfi
48.73	0.86	2.61	C. wuellerstorfi
48.83	0.76	2.56	C. wuellerstorfi
48.93	0.81	2.48	C. wuellerstorfi
49.03	0.62	2.78	C. wuellerstorfi
49.13	0.06	3.12	C. wuellerstorfi
49.23	0.20	3.13	C. wuellerstorfi
49.33	0.18	3.40	C. wuellerstorfi
49.43	-0.20	3.33	C. wuellerstorfi
49.53	-0.30	2.90	C. wuellerstorfi
49.63	0.31	3.23	C. wuellerstorfi
49.73	0.28	2.85	C. wuellerstorfi
49.83	0.19	2.63	C. wuellerstorfi
49.93	-0.14	2.50	C. wuellerstorfi
50.07	0.46	1.84	C. wuellerstorfi
50.17	0.38	1.94	C. wuellerstorfi
50.27	0.04	2.36	C. wuellerstorfi
50.47	-0.33	3.05	C. wuellerstorfi
50.67	-0.17	3.51	C. wuellerstorfi
50.77	-0.22	3.32	C. wuellerstorfi
50.87	0.15	3.25	C. wuellerstorfi
50.97	0.47	3.13	C. wuellerstorfi
51.07	0.83	2.89	C. wuellerstorfi
51.17	0.76	2.50	C. wuellerstorfi
51.27	0.93	2.45	C. wuellerstorfi
51.37	0.72	2.13	C. wuellerstorfi
51.47	0.92	2.34	C. wuellerstorfi
51.57	0.67	2.52	C. wuellerstorfi
52.27	0.21	2.85	C. wuellerstorfi
52.37	0.48	2.88	C. wuellerstorfi
52.47	0.96	2.57	C. wuellerstorfi
52.57	0.79	2.60	C. wuellerstorfi
52.67	0.53	2.93	C. wuellerstorfi
52.77	0.55	3.05	C. wuellerstorfi
52.87	-0.01	3.04	C. wuellerstorfi
52.97	0.02	3.57	C. wuellerstorfi
53.07	-0.10	3.70	C. wuellerstorfi
53.2	-0.32	3.24	C. wuellerstorfi
53.3	0.03	3.01	C. wuellerstorfi
53.5	0.42	3.03	C. wuellerstorfi
53.6	0.19	3.16	C. wuellerstorfi
53.7	-0.18	3.05	C. wuellerstorfi
53.8	0.71	3.06	C. wuellerstorfi
54	0.84	2.74	C. wuellerstorfi
54.1	0.70	2.70	C. wuellerstorfi
54.3	0.07	3.23	C. wuellerstorfi
54.5	0.41	3.08	C. wuellerstorfi
54.6	0.27	2.88	C. wuellerstorfi
54.8	0.44	3.10	C. wuellerstorfi
54.9	0.50	3.16	C. wuellerstorfi
55	0.62	2.92	C. wuellerstorfi
55.1	0.82	2.55	C. wuellerstorfi
55.2	0.75	2.76	C. wuellerstorfi
55.3	0.49	3.07	C. wuellerstorfi
55.4	0.47	3.03	C. wuellerstorfi
55.5	0.40	2.78	C. wuellerstorfi
55.6	0.70	2.79	C. wuellerstorfi
55.7	0.39	3.03	C. wuellerstorfi
55.8	-0.51	2.98	C. wuellerstorfi
55.9	0.00	3.24	C. wuellerstorfi
56	0.76	2.81	C. wuellerstorfi
56.1	0.54	2.54	C. wuellerstorfi
56.2	0.91	2.68	C. wuellerstorfi
56.3	-0.56	3.43	C. wuellerstorfi
56.4	0.48	3.13	C. wuellerstorfi
56.5	0.26	3.54	C. wuellerstorfi
56.6	0.16	3.49	C. wuellerstorfi
56.7	-0.07	3.36	C. wuellerstorfi
56.8	0.23	3.43	C. wuellerstorfi
56.9	0.04	3.27	C. wuellerstorfi
57	0.87	2.71	C. wuellerstorfi
57.2	0.81	2.95	C. wuellerstorfi
