ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
5H-3. 100-102	37.9	42.14	776.6	C.wuellerstorfi	-0.334	0	3.333	0.64	-0.334	3.973
5H-3. 110-112	38	42.24	777.5	C.wuellerstorfi	-0.266	0	3.066	0.64	-0.266	3.706
5H-3. 120-122	38.1	42.34	778.4	C.wuellerstorfi	-0.148	0	3.06	0.64	-0.148	3.7
5H-3. 130-132	38.2	42.44	779.43	C.wuellerstorfi	-0.226	0	2.733	0.64	-0.226	3.373
5H-3. 140-142	38.3	42.54	780.47	C.wuellerstorfi	-0.211	0	2.949	0.64	-0.211	3.589
5H-4. 0-2	38.4	42.64	781.5	C.wuellerstorfi	-0.45	0	2.987	0.64	-0.45	3.627
5H-4. 10-12	38.5	42.74	785.81	C.wuellerstorfi	-0.572	0	3.043	0.64	-0.572	3.683
5H-4. 20-22	38.6	42.84	790.11	C.wuellerstorfi	-0.522	0	2.927	0.64	-0.522	3.567
5H-4. 30-32	38.7	42.94	794.42	C.wuellerstorfi	-0.422	0	3.179	0.64	-0.422	3.819
5H-4. 40-42	38.8	43.04	797.95	C.wuellerstorfi	-0.627	0	3.659	0.64	-0.627	4.299
5H-4. 50-52	38.9	43.14	800.31	C.wuellerstorfi	-0.618	0	3.94	0.64	-0.618	4.58
5H-4. 60-62	39	43.24	802.68	C.wuellerstorfi	-0.599	0	3.74	0.64	-0.599	4.38
5H-4. 70-72	39.1	43.34	805.04	C.wuellerstorfi	-0.615	0	3.673	0.64	-0.615	4.313
5H-4. 80-82	39.2	43.44	807.41	C.wuellerstorfi	-0.557	0	3.833	0.64	-0.557	4.473
5H-4. 90-92	39.3	43.54	809.77	C.wuellerstorfi	-0.481	0	3.762	0.64	-0.481	4.402
5H-4. 100-102	39.4	43.64	812.14	U.peregrina	-0.887	0.9	4.08	0	0.013	4.08
5H-4. 110-112	39.5	43.74	814.5	C.wuellerstorfi	-0.436	0	3.584	0.64	-0.436	4.224
5H-4. 120-122	39.6	43.84	816.87	C.wuellerstorfi	-0.485	0	3.519	0.64	-0.485	4.159
5H-4. 130-132	39.7	43.94	819.23	C.wuellerstorfi	-0.422	0	3.477	0.64	-0.422	4.117
5H-4. 140-142	39.8	44.04	821.6	C.wuellerstorfi	-0.495	0	3.149	0.64	-0.495	3.789
5H-5. 0-2	39.9	44.14	829.15	C.wuellerstorfi	-0.636	0	3.845	0.64	-0.636	4.485
5H-5. 10-12	40	44.24	836.7	C.wuellerstorfi	-0.353	0	3.413	0.64	-0.353	4.053
5H-5. 20-22	40.1	44.34	839.06	C.wuellerstorfi	-0.471	0	3.102	0.64	-0.471	3.742
5H-5. 30-32	40.2	44.44	841.41	U.peregrina	-1.338	0.9	3.886	0	-0.438	3.886
5H-5. 40-42	40.3	44.54	843.77	C.wuellerstorfi	-0.545	0	3.338	0.64	-0.545	3.978
5H-5. 50-52	40.4	44.64	846.13	C.wuellerstorfi	-0.513	0	3.291	0.64	-0.513	3.931
5H-5. 60-62	40.5	44.74	848.49	C.wuellerstorfi	-0.296	0	3.45	0.64	-0.296	4.09
5H-5. 70-72	40.6	44.84	850.84	C.wuellerstorfi	-0.372	0	3.133	0.64	-0.372	3.773
5H-5. 80-82	40.7	44.94	853.2	C.wuellerstorfi	-0.343	0	2.96	0.64	-0.343	3.6
5H-5. 90-92	40.8	45.04	855.42	C.wuellerstorfi	-0.316	0	2.782	0.64	-0.316	3.422
5H-5. 120-122	41.1	45.34	862.09	C.wuellerstorfi	-0.366	0	2.827	0.64	-0.366	3.467
