# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-30_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      V19-30
# Latitude:       3.00.00S	( -3)
# Longitude:      83.00.00W	( -83)
# Water Depth(m): 3091
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Shackleton, N.J. 1987. Oxygen isotopes, ice volume and sea level. Quaternary
#     Science Reviews 6:183-190.
#   Shackleton, N.J., and N.G. Pisias. 1985. Atmospheric carbon dioxide, orbital
#     forcing, and climate. Pages 303-317 in E.T. Sundquist and W.S. Broecker, editors,
#     The Carbon Cycle and Atmospheric CO2: Natural Variations Archean to Present.
#     American Geophysical Union, Washington, D.C., USA.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# V19-30 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-        Notes
#  32.75       6090          180           180          GX8272
#  66.75       9935          270           270          GX8273
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: V19-30
depth         yrBP          d13Cforams-b  d18Oforams-b  
 806           131800       -0.4           4.2          
 810           132600       -0.22          4.73         
 813           133100       -0.21          4.87         
 816           133600       -0.39          4.66         
 820           134300       -0.36          4.77         
 823           134800       -0.4           5.33         
 826           135300       -0.35          5.22         
 830           135900       -0.39          4.98         
 833           136300       -0.48          5.07         
 836           136600       -0.46          4.9          
 840           137200       -0.24          4.42         
 843           137600       -0.53          4.94         
 846           138000       -0.51          4.91         
 850           138500       -0.56          4.91         
 857           139400       -0.48          5.01         
 861           139900       -0.39          5.05         
 864           140300       -0.51          4.88         
 867           140700       -0.47          4.92         
 871           141300       -0.54          4.96         
 874           141700       -0.47          4.86         
 877           142000       -0.5           4.82         
 881           142600       -0.44          4.91         
 884           143000       -0.37          4.86         
 891           143900       -0.53          4.87         
 903           145500       -0.38          4.84         
 911           146500       -0.36          4.81         
 914           146900       -0.5           4.82         
 917           147300       -0.53          4.77         
 921           147800       -0.5           4.75         
 927           148600       -0.5           4.81         
 934           149600       -0.46          4.92         
 941           150500       -0.48          4.89         
 944           150900       -0.55          5.08         
 947           151300       -0.58          5.11         
 950           151900       -0.77          4.7          
 954           152600       -0.52          4.89         
 958           153300       -0.65          4.68         
 961           153800       -0.6           4.86         
 964           154300       -0.66          4.82         
 967           154800       -0.66          4.7          
 977           156600       -0.69          4.53         
 981           157300       -0.64          4.51         
 984           157800       -0.47          4.5          
 987           158300       -0.51          4.89         
 991           159000       -0.44          4.85         
 994           159600       -0.66          4.69         
 997           160100       -0.68          4.54         
 1007          161833.3     -0.66          4.66         
 1017          163700       -0.7           4.61         
 1027          165500       -0.59          4.43         
 1030          166100       -0.52          4.37         
 1044          168600       -0.6           4.37         
 1047          169200       -0.52          4.29         
 1052          170100       -0.47          4.5          
 1054          170500       -0.49          4.53         
 1057          171000       -0.48          4.54         
 1061          171800       -0.6           4.6          
 1067          172900       -0.62          4.54         
 1071          173600       -0.54          4.63         
