mcd	ageCK92 607O18	607O18adj	607C13
8344.5	1974.6	3.16	3.80	0.60
8359.5	1978.0	3.14	3.78	0.84
8376.5	1981.7	2.88	3.52	0.87
8389.5	1984.6	3.01	3.65	0.84
8404.5	1988.0	3.00	3.64	1.13
8419.5	1991.3	2.73	3.37	1.31
8434.5	1994.6	2.66	3.30	1.33
8462.5	2000.8	2.74	3.38	1.12
8492.5	2007.5	2.81	3.45	1.26
8509.5	2011.3	2.95	3.59	1.00
8522.5	2014.2	3.09	3.73	1.22
8539.5	2018.0	3.15	3.79	1.13
8556.5	2021.7	3.15	3.79	0.88
8569.5	2024.6	3.01	3.65	1.26
8584.5	2028.0	2.94	3.58	0.78
8606.5	2032.9	2.93	3.57	0.79
8616.5	2035.1	2.91	3.55	0.69
8644.5	2041.3	3.08	3.72	0.84
8659.5	2044.6	3.59	4.23	0.56
8674.5	2048.0	3.41	4.05	0.29
8689.5	2051.3	3.60	4.24	0.40
8706.5	2055.1	3.54	4.18	0.45
8719.5	2058.0	3.42	4.06	0.45
8734.5	2061.3	3.39	4.03	0.62
8756.5	2066.2	3.13	3.77	0.68
8762.5	2067.5	3.13	3.77	0.88
8781.5	2071.8	3.03	3.67	0.94
8792.5	2074.2	2.86	3.50	0.99
8809.5	2078.0	3.05	3.69	0.83
8826.5	2081.8	2.97	3.61	0.76
8839.5	2084.6	3.07	3.71	0.79
8856.5	2088.4	2.85	3.49	1.06
8869.5	2091.3	2.69	3.33	0.93
8888.5	2095.5	2.73	3.37	0.61
8906.5	2099.5	2.82	3.46	0.63
8914.5	2101.3	2.73	3.37	0.65
8931.5	2105.1	3.25	3.89	0.57
8944.5	2108.0	3.10	3.74	0.70
8974.5	2114.7	2.65	3.29	1.04
8989.5	2118.0	2.52	3.16	0.98
9004.5	2121.3	2.71	3.35	0.78
9019.5	2124.7	2.90	3.54	0.49
9056.5	2132.9	3.54	4.18	0.26
9062.5	2134.2	3.72	4.36	0.33
9092.5	2140.9	3.49	4.13	0.01
9122.5	2147.6	3.22	3.86	0.42
9139.5	2151.3	3.20	3.84	0.76
9156.5	2155.1	2.90	3.54	0.94
9169.5	2158.0	2.95	3.59	0.87
9180.5	2160.4	2.79	3.43	0.85
9194.5	2163.6	2.75	3.39	1.03
9210.5	2167.1	2.95	3.59	0.77
9224.5	2170.2	2.95	3.59	0.96
9240.5	2173.8	2.98	3.62	0.87
9254.5	2176.9	3.11	3.75	0.64
9270.5	2180.5	3.08	3.72	0.51
9284.5	2183.6	2.74	3.38	0.89
9295.5	2186.0	2.97	3.61	0.97
9310.5	2189.3	2.91	3.55	0.87
9332.5	2194.2	2.90	3.54	0.64
9340.5	2196.0	2.79	3.43	0.70
9357.5	2199.8	2.75	3.39	0.78
9370.5	2202.7	2.88	3.52	0.36
9400.5	2209.3	2.54	3.18	0.58
9430.5	2216.0	2.97	3.61	0.55
9445.5	2219.3	3.48	4.12	0.30
9460.5	2222.7	3.06	3.70	0.59
9482.5	2227.6	3.08	3.72	0.76
9490.5	2229.4	2.92	3.56	0.58
9507.5	2233.1	2.67	3.31	1.13
9520.5	2236.0	2.61	3.25	0.95
9565.5	2246.0	2.51	3.15	0.81
9580.5	2249.4	2.57	3.21	0.75
9595.5	2252.7	2.94	3.58	0.64
9610.5	2256.0	2.92	3.56	0.64
9632.5	2260.9	3.35	3.99	0.49
9642.5	2263.1	3.25	3.89	0.43
9657.5	2266.5	3.22	3.86	0.66
9700.5	2276.0	2.75	3.39	0.80
9715.5	2279.4	2.67	3.31	0.99
9730.5	2282.7	2.60	3.24	0.86
9745.5	2286.0	2.76	3.40	0.70
9760.5	2289.4	2.87	3.51	0.77
9782.5	2294.3	3.00	3.64	0.60
9790.5	2296.0	3.00	3.64	0.66
9820.5	2302.7	3.13	3.77	0.72
9835.5	2306.0	2.82	3.46	0.48
9865.5	2312.7	2.89	3.53	0.51
9895.5	2319.4	2.68	3.32	0.83
9932.5	2327.6	2.50	3.14	0.71
9940.5	2329.4	2.79	3.43	1.04
9957.5	2333.2	2.86	3.50	0.69
9970.5	2336.0	3.10	3.74	0.80
9985.5	2339.4	3.18	3.82	0.77
10000.0	2342.6	3.16	3.80	0.61
10031.0	2349.5	3.07	3.71	0.42
