age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
2.175 	0.229 	-2.906 	2.165 	-0.435 	3.102 
2.181 	0.576 	-2.786 	2.166 	-0.286 	3.421 
2.182 	0.815 	-1.580 	2.166 	-0.065 	3.319 
2.186 	0.793 	-1.796 	2.167 	0.005 	3.468 
2.189 	-0.186 	-2.748 	2.173 	-0.139 	3.106 
2.190 	0.122 	-2.695 	2.175 	-0.455 	3.258 
2.193 	0.809 	-2.320 	2.181 	0.022 	2.981 
2.194 	0.796 	-2.023 	2.182 	-0.283 	3.063 
2.195 	0.840 	-2.659 	2.185 	0.008 	3.050 
2.197 	0.039 	-2.857 	2.186 	-0.023 	2.981 
2.198 	0.245 	-2.316 	2.189 	-0.252 	2.798 
2.200 	0.295 	-1.848 	2.190 	0.004 	2.796 
2.202 	0.956 	-1.944 	2.193 	-0.064 	2.846 
2.204 	0.434 	-1.978 	2.194 	-0.008 	2.692 
2.205 	0.511 	-2.258 	2.195 	-0.222 	2.705 
2.216 	-0.122 	-2.938 	2.195 	0.045 	2.732 
2.222 	0.430 	-2.662 	2.197 	-0.277 	2.820 
2.227 	0.189 	-2.530 	2.198 	-0.135 	2.900 
2.232 	0.498 	-1.599 	2.200 	-0.072 	3.059 
2.237 	0.090 	-2.351 	2.202 	-0.271 	3.074 
2.240 	0.276 	-2.216 	2.204 	-0.207 	3.132 
2.242 	0.188 	-2.344 	2.205 	-0.021 	2.987 
2.250 	0.523 	-2.906 	2.206 	-0.452 	3.011 
2.256 	0.288 	-2.353 	2.207 	-0.323 	2.905 
2.262 	0.779 	-2.639 	2.211 	-0.424 	2.675 
2.268 	-0.003 	-3.031 	2.216 	-0.328 	2.899 
2.275 	-0.019 	-1.887 	2.222 	-0.215 	2.836 
2.276 	0.004 	-2.382 	2.227 	-0.321 	2.695 
2.278 	0.239 	-1.949 	2.232 	-0.522 	2.854 
2.280 	0.580 	-2.222 	2.237 	-0.313 	2.852 
2.283 	0.547 	-2.558 	2.240 	-0.154 	3.144 
2.294 	0.464 	-2.298 	2.241 	-0.462 	3.183 
2.296 	0.051 	-2.553 	2.242 	-0.260 	3.265 
2.299 	0.646 	-2.331 	2.246 	-0.070 	3.038 
2.305 	0.365 	-2.343 	2.256 	-0.140 	2.704 
2.311 	0.823 	-2.650 	2.262 	-0.112 	2.364 
2.313 	0.496 	-2.191 	2.275 	-0.272 	2.847 
2.316 	0.588 	-2.316 	2.283 	0.014 	3.149 
2.318 	1.027 	-2.309 	2.294 	-0.186 	2.767 
2.319 	0.433 	-2.024 	2.299 	-0.341 	2.690 
2.320 	0.363 	-2.519 	2.305 	-0.364 	2.727 
2.321 	0.900 	-2.268 	2.310 	-0.401 	2.755 
2.322 	0.762 	-2.064 	2.311 	-0.277 	2.923 
2.330 	0.571 	-2.371 	2.313 	-0.327 	3.052 
2.339 	0.946 	-2.318 	2.316 	-0.311 	3.063 
2.348 	0.651 	-2.556 	2.318 	0.149 	3.104 
2.351 	0.860 	-2.554 	2.318 	-0.063 	2.971 
2.354 	0.994 	-2.220 	2.319 	-0.399 	3.018 
2.357 	0.914 	-2.024 	2.320 	-0.600 	3.064 
2.361 	0.882 	-2.606 	2.321 	-0.337 	3.048 
2.364 	0.848 	-2.477 	2.322 	-0.232 	2.831 
2.368 	0.662 	-2.235 	2.330 	-0.144 	2.676 
2.373 	1.040 	-2.160 	2.331 	0.243 	2.836 
2.385 	1.336 	-2.114 	2.339 	-0.193 	2.701 
2.389 	1.138 	-2.407 	2.348 	-0.197 	2.469 
2.393 	1.187 	-2.302 	2.351 	-0.293 	3.155 
2.396 	1.147 	-2.555 	2.354 	-0.321 	3.091 
2.400 	0.532 	-2.412 	2.357 	-0.225 	2.986 
2.412 	0.779 	-2.398 	2.361 	-0.116 	3.109 
2.416 	1.239 	-1.871 	2.364 	-0.328 	3.178 
2.420 	0.727 	-2.455 	2.368 	-0.063 	3.061 
2.423 	0.580 	-2.083 	2.373 	-0.177 	3.262 
2.427 	0.364 	-3.023 	2.377 	-0.341 	3.350 
2.432 	0.773 	-1.807 	2.381 	-0.094 	3.068 
2.438 	0.380 	-2.209 	2.393 	-0.129 	2.835 
2.440 	0.159 	-2.245 	2.400 	-0.220 	3.033 
2.442 	0.521 	-2.411 	2.412 	-0.422 	3.156 
2.444 	0.551 	-1.721 	2.416 	-0.202 	2.990 
2.447 	0.565 	-1.892 	2.420 	0.027 	2.948 
2.453 	0.731 	-2.317 	2.421 	-0.313 	2.784 
2.456 	0.440 	-1.458 	2.422 	0.134 	2.883 
2.462 	0.586 	-2.091 	2.423 	-0.106 	2.738 
2.465 	0.779 	-2.028 	2.423 	0.168 	2.550 
2.467 	0.616 	-2.297 	2.427 	0.223 	2.558 
2.469 	0.780 	-2.364 	2.429 	-0.072 	2.807 
2.474 	0.508 	-1.893 	2.432 	-0.268 	2.838 
2.477 	0.385 	-1.725 	2.434 	-0.095 	2.792 
2.482 	0.582 	-1.703 	2.438 	-0.319 	2.821 
2.495 	0.981 	-2.048 	2.440 	-0.310 	2.914 
2.499 	0.487 	-2.917 	2.442 	-0.329 	3.235 
2.501 	0.482 	-2.446 	2.444 	-0.151 	3.460 
2.503 	0.131 	-1.927 	2.447 	-0.250 	3.550 
2.504 	0.099 	-2.145 	2.453 	-0.185 	3.360 
2.506 	-0.093 	-2.083 	2.456 	-0.270 	3.428 
2.508 	0.475 	-1.683 	2.459 	-0.634 	3.237 
2.516 	0.590 	-1.914 	2.465 	-0.143 	3.059 
2.526 	0.257 	-2.106 	2.467 	-0.027 	2.772 
2.537 	0.206 	-2.351 	2.469 	-0.189 	2.526 
2.544 	0.774 	-2.284 	2.472 	-0.476 	2.655 
2.546 	1.190 	-2.222 	2.474 	-0.179 	2.489 
2.547 	0.362 	-2.834 	2.477 	-0.267 	2.829 
2.550 	0.914 	-2.145 	2.482 	-0.567 	3.161 
2.552 	0.866 	-2.232 	2.488 	-0.670 	3.521 
2.554 	0.691 	-2.200 	2.492 	-0.216 	3.084 
2.555 	0.079 	-2.091 	2.495 	-0.132 	3.109 
2.557 	1.032 	-2.233 	2.499 	0.073 	3.091 
2.577 	0.587 	-2.508 	2.501 	-0.473 	2.640 
2.585 	0.781 	-2.837 	2.503 	-0.436 	2.907 
2.589 	0.500 	-2.682 	2.508 	-0.043 	2.486 
2.597 	0.627 	-2.236 	2.523 	-0.335 	3.504 
2.612 	0.732 	-2.150 	2.526 	-0.781 	3.359 
2.620 	0.916 	-1.998 	2.529 	-0.578 	3.464 
2.627 	0.719 	-2.658 	2.531 	-0.615 	3.445 
2.634 	0.573 	-3.203 	2.534 	-0.432 	3.029 
2.649 	0.413 	-1.716 	2.537 	-0.217 	3.218 
2.656 	0.935 	-2.284 	2.544 	0.006 	2.546 
2.661 	0.426 	-2.930 	2.552 	-0.488 	3.070 
2.664 	0.865 	-1.601 	2.555 	-0.009 	2.858 
2.667 	0.502 	-2.316 	2.555 	-0.342 	2.867 
2.674 	0.802 	-2.251 	2.557 	-0.101 	2.874 
2.687 	0.767 	-2.094 	2.567 	-0.042 	2.873 
2.699 	0.318 	-2.470 	2.577 	-0.382 	2.647 
2.718 	1.009 	-2.538 	2.593 	-0.508 	2.656 
2.721 	0.742 	-2.259 	2.597 	-0.349 	3.050 
2.728 	0.708 	-1.569 	2.601 	-0.410 	3.038 
2.732 	0.976 	-2.020 	2.605 	0.103 	3.112 
2.734 	0.583 	-2.295 	2.641 	-0.204 	3.015 
2.739 	0.737 	-2.343 	2.649 	-0.248 	2.967 
2.745 	0.868 	-2.311 	2.656 	-0.177 	3.001 
2.751 	1.149 	-2.147 	2.658 	0.093 	2.647 
2.759 	0.696 	-2.125 	2.661 	-0.121 	2.643 
2.763 	0.950 	-2.034 	2.664 	-0.091 	2.598 
2.764 	0.940 	-2.661 	2.667 	-0.090 	2.454 
2.767 	1.028 	-2.580 	2.681 	-0.283 	3.016 
2.771 	1.012 	-2.169 	2.694 	-0.239 	3.059 
2.775 	1.030 	-2.412 	2.699 	-0.138 	2.905 
2.776 	0.806 	-2.266 	2.704 	-0.092 	2.883 
2.779 	0.937 	-2.336 	2.718 	-0.229 	3.100 
2.789 	0.661 	-2.796 	2.721 	-0.668 	3.240 
2.798 	0.657 	-2.441 	2.725 	-0.392 	3.178 
2.808 	0.728 	-2.194 	2.728 	-0.183 	3.130 
2.816 	0.952 	-2.356 	2.732 	-0.335 	3.223 
2.821 	0.509 	-2.687 	2.734 	-0.322 	2.979 
2.826 	1.055 	-2.389 	2.739 	-0.346 	3.249 
2.849 	0.682 	-2.607 	2.741 	-0.115 	2.946 
2.859 	0.741 	-2.009 	2.751 	0.233 	2.615 
2.869 	1.292 	-2.747 	2.752 	-0.175 	3.058 
2.877 	1.244 	-2.463 	2.756 	0.129 	2.774 
2.881 	1.006 	-2.812 	2.760 	0.412 	2.757 
2.885 	1.036 	-2.133 	2.763 	0.040 	2.627 
2.889 	1.075 	-1.851 	2.764 	0.156 	2.483 
2.915 	0.944 	-2.528 	2.767 	0.154 	2.800 
2.917 	0.965 	-2.710 	2.771 	0.337 	2.580 
2.928 	1.126 	-2.492 	2.772 	-1.032 	2.679 
2.931 	0.649 	-2.228 	2.775 	0.154 	2.563 
2.935 	0.919 	-2.183 	2.776 	-0.250 	2.798 
2.939 	0.800 	-2.089 	2.779 	0.213 	2.692 
2.944 	0.801 	-2.668 	2.781 	-0.025 	2.643 
2.948 	0.937 	-2.106 	2.784 	0.279 	2.548 
2.977 	0.993 	-2.622 	2.786 	-0.042 	2.771 
2.982 	0.900 	-2.535 	2.789 	-0.390 	2.391 
2.987 	0.869 	-2.265 	2.798 	-0.019 	2.990 
3.018 	1.153 	-2.195 	2.808 	-0.060 	3.068 
3.029 	0.344 	-2.535 	2.816 	0.031 	3.053 
3.081 	1.022 	-2.414 	2.821 	0.009 	2.956 
3.098 	0.843 	-2.365 	2.831 	0.057 	2.755 
3.109 	1.167 	-2.057 	2.835 	0.181 	2.560 
3.120 	0.295 	-2.359 	2.840 	-0.015 	2.527 
3.130 	0.646 	-2.457 	2.849 	0.433 	2.753 
3.145 	0.558 	-1.796 	2.859 	0.181 	2.860 
3.154 	0.702 	-2.643 	2.864 	0.151 	2.812 
3.162 	1.203 	-2.700 	2.869 	0.328 	2.632 
3.168 	0.719 	-2.529 	2.873 	0.147 	2.574 
3.180 	1.287 	-2.458 	2.877 	0.408 	2.598 
3.193 	1.152 	-2.629 	2.889 	-0.292 	2.954 
3.205 	1.058 	-2.932 	2.894 	0.137 	2.790 
3.230 	0.716 	-2.708 	2.899 	0.062 	2.735 
3.266 	0.859 	-2.774 	2.909 	-0.051 	2.471 
3.293 	1.029 	-2.574 	2.911 	0.180 	2.654 
3.330 	0.869 	-2.733 	2.915 	-0.456 	2.703 
