ODP 925        
         
4¡12.25 N 43¡29.33 W 3042 m    
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Age model        
         
Site Hole Core Type Sect Top mcd d18O d13C species 
925 C 3 H 6 51 25.84 3.36 0.34 C.wuellerstorfi
925 C 3 H 6 61 25.94 3.26 0.85 C.kullenbergi
925 D 3 H 1 122 25.98 3.11 0.70 C.bradyii
925 D 3 H 1 126 26.02 3.02 0.89 C.wuellerstorfi
925 D 3 H 1 126 26.02 2.96 1.05 C.wuellerstorfi
925 D 3 H 1 131 26.07 2.92 1.00 C.wuellerstorfi
925 D 3 H 1 132 26.08 2.89 0.51 C.wuellerstorfi
925 D 3 H 1 136 26.12 2.83 1.01 C.kullenbergi
925 D 3 H 1 142 26.18 2.75 1.15 C.wuellerstorfi
925 D 3 H 1 146 26.22 2.81 1.25 C.wuellerstorfi
925 D 3 H 2 2 26.28 2.84 0.77 C.bradyii
925 D 3 H 2 6 26.32 2.95 0.99 C.cicatricosus
925 D 3 H 2 11 26.37 2.87 1.16 C.wuellerstorfi
925 D 3 H 2 11 26.37 2.99 1.20 C.wuellerstorfi
925 D 3 H 2 12 26.38 3.09 0.72 C.bradyii
925 D 3 H 2 31 26.57 3.51 -0.31 C.wuellerstorfi
925 D 3 H 2 36 26.62 3.25 0.40 C.wuellerstorfi
925 D 3 H 2 41 26.67 3.43 -0.16 C.wuellerstorfi
925 D 3 H 2 42 26.68 2.94 0.84 C.wuellerstorfi
925 D 3 H 2 51 26.77 3.56 -0.50 C.wuellerstorfi
925 D 3 H 2 52 26.78 3.80 -0.16 C.wuellerstorfi
925 D 3 H 2 56 26.82 3.74 -0.34 C.wuellerstorfi
925 D 3 H 2 61 26.87 3.75 -0.28 C.wuellerstorfi
925 D 3 H 2 62 26.88 3.77 -0.27 C.wuellerstorfi
925 D 3 H 2 66 26.92 3.60 0.68 C.wuellerstorfi
925 D 3 H 2 71 26.97 3.72 0.18 C.wuellerstorfi
925 D 3 H 2 71 26.97 3.73 -0.08 C.wuellerstorfi
925 D 3 H 2 76 27.02 3.64 0.73 C.wuellerstorfi
925 D 3 H 2 81 27.07 3.46 0.89 C.wuellerstorfi
925 D 3 H 2 82 27.08 3.56 0.89 C.wuellerstorfi
925 D 3 H 2 86 27.12 3.60 0.73 C.wuellerstorfi
925 D 3 H 2 91 27.17 3.19 1.07 C.wuellerstorfi
925 D 3 H 2 92 27.18 3.31 1.12 C.wuellerstorfi
925 D 3 H 2 96 27.22 3.38 1.01 C.wuellerstorfi
925 D 3 H 2 101 27.27 3.01 1.04 C.wuellerstorfi
925 D 3 H 2 102 27.28 3.23 1.03 C.wuellerstorfi
925 D 3 H 2 111 27.37 3.34 0.98 C.wuellerstorfi
925 D 3 H 2 112 27.38 3.31 0.99 C.wuellerstorfi
925 D 3 H 2 121 27.47 3.27 0.45 C.wuellerstorfi
925 D 3 H 2 126 27.52 3.27 0.69 C.wuellerstorfi
925 D 3 H 2 131 27.57 3.28 0.75 C.wuellerstorfi
925 D 3 H 2 132 27.58 3.29 0.60 C.wuellerstorfi
925 D 3 H 2 136 27.62 3.88 0.07 C.wuellerstorfi
925 D 3 H 2 146 27.72 3.81 -0.06 C.wuellerstorfi
925 D 3 H 3 2 27.78 3.73 0.08 C.wuellerstorfi
925 D 3 H 3 6 27.82 3.90 0.04 C.wuellerstorfi
925 D 3 H 3 11 27.87 3.64 0.15 C.wuellerstorfi
925 D 3 H 3 12 27.88 3.44 -0.26 C.wuellerstorfi
925 D 3 H 3 16 27.92 3.76 -0.41 C.wuellerstorfi
925 D 3 H 3 21 27.97 3.63 0.09 C.wuellerstorfi
925 D 3 H 3 22 27.98 3.76 0.15 C.wuellerstorfi
925 D 3 H 3 31 28.07 3.59 0.27 C.wuellerstorfi
925 D 3 H 3 31 28.07 3.67 0.37 C.wuellerstorfi
925 D 3 H 3 36 28.12 3.33 -0.32 C.wuellerstorfi
925 D 3 H 3 41 28.17 3.30 -0.44 C.wuellerstorfi
925 D 3 H 3 51 28.27 3.13 0.84 C.wuellerstorfi
