   
   
   
   
   
   
   
   
   
   
   
   
   
   
Soc. of Edinburgh: Earth
   
   
   
each sample indicated by
   
   
   
   
depth kyrBP d18Oforams-b notes
7310 1792 4.21 UVIG
7320 1795 4.37 UVIG
7330 1797 4.35 UVIG
7340 1799 4.21 UVIG
7350 1801 4.25 UVIGORID
7360 1803 4.05 UVIG
7370 1805 4.04 UVIG
7380 1807 3.65 UVIG
7390 1809 3.89 UVIG
7400 1812 3.84 UVIG
7410 1815 3.78 UVIG
7418 1817 3.93 UVIORBUL
7430 1821 4.1 UVIGORID
7460 1829 3.82 UVIG
7470 1831 3.88 UVIG
7480 1832 4.03 UVIG
7490 1834 4.28 UVIG
7500 1836 4.16 UVIG
7510 1838 4.07 UVIG
7520 1839 4.02 UVIGORID
7530 1841 4.09 UVIGBULL
7540 1843 3.85 UVIGBULL
7560 1846 4 UVIG
7568 1847 3.77 UVIG
7590 1852 4 UVIG
7600 1859 4.19 UVIG
7630 1881 4.49 UVIG
7650 1896 3.98 UVIGPYRG
7670 1910 4.19 UVIG
7680 1914 4.07 UVIG
7689 1917 4.12 UVIGORBU
7710 1924 3.92 UVIG
7720 1927 3.79 UVIG
7728 1930 3.86 UVIGBUL
7750 1938 3.56 UVIG
7760 1941 3.55 UVIG
7768 1944 3.93 UVIG
7770 1944 3.61 UVIGLORI
7780 1946 3.71 UVIG
7789 1948 3.86 UVIG
7800 1950 4 UVIG
7800 1950 3.89 UVIG
7809 1952 4.31 UVIGORID
7810 1953 4.18 UVIG
7820 1955 4.27 UVIG
7837 1958 4.2 UVIG
7848 1961 4.19 UVIG
7859 1963 4.3 UVIG
7869 1965 4.13 UVIG
7878 1967 4 UVIG
7889 1969 3.93 UVIG
7899 1971 3.87 UVIG
7909 1973 3.8 UVIG
7918 1975 3.96 UVIG
7930 1978 3.65 UVIG
7940 1980 3.52 UVIGORID
7950 1982 3.54 UVIGORID
7970 1985 3.7 UVIG
7980 1987 3.7 UVIG
7989 1988 3.95 UVIG
8000 1990 4.23 UVIG
8010 1992 4.26 UVIG
8020 1993 4.25 UVIG
8027 1994 4.22 UVIG
