Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
3255 825 -1.7 GRUBER
3255 825 -1.74 GRUBER
3265 828 -1.57 GRUBER
3265 828 -1.39 GRUBER
3275 831 -1.75 GRUBER
3275 831 -1.71 GRUBER
3285 834 -1.75 GRUBER
3285 834 -1.62 GRUBER
3295 837 -1.75 GRUBER
3295 837 -1.72 GRUBER
3305 840 -1.83 GRUBER
3305 840 -1.77 GRUBER
3315 843 -1.87 GRUBER
3315 843 -1.75 GRUBER
3315 843 -1.6 GRUBER
3325 846 -1.44 GRUBER
3325 846 -1.52 GRUBER
3325 846 -1.39 GRUBER
3334 848 -1.61 GRUBER
3334 848 -1.6 GRUBER
3343 851 -1.65 GRUBER
3343 851 -1.6 GRUBER
3355 854 -1.8 GRUBER
3355 854 -1.65 GRUBER
3365 857 -1.78 GRUBER
3365 857 -1.65 GRUBER
3375 860 -1.92 GRUBER
3375 860 -1.71 GRUBER
3385 862 -1.7 GRUBER
3395 865 -0.89 GRUBER
3395 865 -0.64 GRUBER
3395 865 -0.8 GRUBER
3405 867 -0.83 GRUBER
3405 867 -0.35 GRUBER
3415 870 -0.36 GRUBER
3415 870 -0.35 GRUBER
3425 872 -0.27 GRUBER
3425 872 -0.46 GRUBER
3435 875 -0.28 GRUBER
3435 875 -0.4 GRUBER
3445 877 -0.81 GRUBER
3445 877 -0.74 GRUBER
3455 880 -0.95 GRUBER
3455 880 -0.7 GRUBER
3465 882 -0.73 GRUBER
3465 882 -0.7 GRUBER
3467 883 -0.7 GRUBER
3467 883 -0.1 GRUBER
3470 884 -0.83 GRUBER
3475 885 -0.74 GRUBER
3475 885 -0.64 GRUBER
3480 886 -0.75 GRUBER
3485 887 -0.82 GRUBER
3485 887 -0.69 GRUBER
3490 889 -0.69 GRUBER
3493 889 -0.78 GRUBER
3493 889 -0.69 GRUBER
3503 892 -0.68 GRUBER
3505 892 -0.74 GRUBER
3505 892 -0.71 GRUBER
3510 894 -0.73 GRUBER
3515 895 -0.96 GRUBER
3515 895 -0.89 GRUBER
3520 896 -0.75 GRUBER
3525 897 -1.18 GRUBER
3525 897 -1.22 GRUBER
3530 899 -0.92 GRUBER
3535 900 -1.01 GRUBER
3535 900 -0.96 GRUBER
3536 900 -1.3 GRUBER
3545 902 -1.02 GRUBER
3545 902 -1.32 GRUBER
3550 904 -1.3 GRUBER
3555 905 -1.45 GRUBER
3555 905 -1.35 GRUBER
3560 906 -1.34 GRUBER
3565 907 -1.34 GRUBER
3565 907 -1.09 GRUBER
3573 909 -1.25 GRUBER
3575 910 -1.26 GRUBER
3575 910 -1.05 GRUBER
3580 911 -1.36 GRUBER
3585 912 -0.76 GRUBER
3585 912 -0.81 GRUBER
3588 913 -0.8 GRUBER
3600 916 -0.96 GRUBER
3605 917 -0.95 GRUBER
3605 917 -0.92 GRUBER
3610 918 -0.95 GRUBER
3615 920 -1.2 GRUBER
