NOAA Paleoclimatology Program -
odp-677-fwc.txt   
Complete Data  
File Created: 18-jan-05 
   
Missing Values indicated by
   
PI: Nicholas J. Shackleton
Core/Site: ODP-677  
Latitude: 1.12.00N ( 1.2)
Longitude: 83.44.00W ( -83.73333)
Water depth. m: 3450
   
Publications:   
Shackleton et al.. 1990.
   
Description & Notes: 
Astronomical timescale for the
Patching of ODP-677 A
sample id.  
   
   
CORE: ODP-677 CORE: ODP-677
depth kyrBP d18Oforams-b notes
8530 2057 3.75 PWUELL
8541 2058 3.67 PWUELL
8550 2059 3.72 PWUELL
8710 2076 4.26 PWUELL
8740 2079 4.25 PWUELL
8789 2086 4.01 PWUELL
9000 2115 3.6 PWUELL
9270 2178 3.64 PWUELL
9290 2184 3.67 PWUELL
9310 2189 3.69 PWUELL
9440 2215 3.39 PWUELL
9480 2223 3.59 PWUELL
9490 2225 3.32 PWUELL
9510 2229 4.03 PWUELL
9520 2231 3.28 PWUELL
9539 2237 3.9 PWUELL
9600 2255 3.44 PWUELL
9610 2258 3.1 PWUELL
9620 2260 3.21 PWUELL
9630 2263 3.72 PWUELL
9635 2265 3.46 PWUELL
9640 2266 3.47 PWUELL
9650 2269 3.56 PWUELL
9668 2275 3.56 PWUELL
9680 2278 3.48 PWUELL
9690 2281 3.52 PWUELL
9700 2284 3.28 PWUELL
9730 2293 3.7 PWUELL
9750 2298 3.31 PWUELL
9770 2304 3.57 PWUELL
9791 2313 3.71 PWUELL
9830 2330 3.54 PWUELL
9860 2342 3.33 PWUELL
9930 2362 3.73 PWUELL
10060 2398 3.53 PWUELL
10070 2402 3.79 PWUELL
10110 2415 3.71 PWUELL
10130 2422 3.59 PWUELL
10180 2433 3.47 PWUELL
10220 2438 3.77 PWUELL
10261 2444 4.29 PWUELL
10290 2449 4.13 PWUELL
10300 2450 4.07 PWUELL
10310 2451 4.18 PWUELL
10320 2453 3.86 PWUELL
10460 2473 3.44 PWUELL
10480 2476 3.54 PWUELL
10490 2478 3.92 PWUELL
10510 2481 4.18 PWUELL
10770 2525 4.11 PWUELL
10840 2534 4.14 PWUELL
10980 2555 3.72 PWUELL
11020 2564 3.81 PWUELL
11030 2566 3.67 PWUELL
11180 2600 3.73 PWUELL
10030 2388 3.45 PWUELLAT
10938 2547 3.13 PWUELLAT
6170 1503 4.25 PWUELMEL
6348 1547 3.94 PWUELMEL
10860 2537 4.04 PWUELMEL
11118 2586 3.52 PYRGGLOB
9850 2338 3.49 PYRGO
4502 1138 4.15 SBULGBUL
10411 2466 3.49 SBULGBUL
5660 1394 3.54 SBULL
5690 1400 3.52 SBULL
5700 1402 3.55 SBULL
5712 1404 3.51 SBULL
5720 1406 3.66 SBULL
6600 1625 3.67 SBULL
6680 1646 3.61 SBULL
6800 1673 4.26 SBULL
10380 2462 3.44 SBULL
4755 1194 3.93 SBULLGBU
5650 1392 3.99 SBULLGLO
5680 1398 3.77 SBULLGLO
5730 1408 3.72 SBULLGLO
10418 2467 3.52 SBULPYRG
10968 2552 3.63 STYLOS

