/* DATA DESCRIPTION:
Citation:	Ruddiman, WF et al. (1989): (Table A1) Stable carbon and oxygen isotope ratios of benthic foraminifera from DSDP Site 94-607 in the North Atlantic, doi:10.1594/PANGAEA.418231,
	In Supplement to: Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean, Paleoceanography, 4(4), 353-412, doi:10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -32.9573 * EAST: -32.9573 * SOUTH: 41.0012 * NORTH: 41.0012
	MINIMUM AGE: 245.400 ka BP * MAXIMUM AGE: 7583.800 ka BP
	MINIMUM DEPTH, sediment: 9.3 m * MAXIMUM DEPTH, sediment: 73.2 m
Event(s):	94-607_Site * LATITUDE: 41.0012 * LONGITUDE: -32.9573 * ELEVATION: -3427.0 m * DATE/TIME: 1983-07-06T00:00:00 * RECOVERY: 4.54 m * PENETRATION: 5.96 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Composite Core * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Sample code/label (Label) * PI: Ruddiman, William F * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d18O [per mil PDB] (Uvigerina spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d13C [per mil PDB] (Uvigerina spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1383 data points
*/
Depth [m]	Age [ka BP]	Label	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]	Uvigerina spp. d18O [per mil PDB]	Uvigerina spp. d13C [per mil PDB]
31.18	722.6	94-607-4-7,16			4.32	-1.19
31.26	723.6	94-607-4-7,24			4.20	-0.91
31.56	727.0	94-607A-5-4,135	3.32	0.26		
31.72	728.9	94-607A-5-5,1	2.94	0.70		
32.02	737.7	94-607A-5-5,31	3.16	-0.08		
32.02	737.7	94-607A-5-5,31	3.06	0.23		
32.16	742.9	94-607A-5-5,45	3.64	-0.43		
32.32	748.8	94-607A-5-5,61	4.14	-0.63	4.66	-1.10
32.62	753.8	94-607-5-1,16	3.83	-0.54		
32.68	754.5	94-607-5-1,22	3.68	-0.56		
32.77	755.6	94-607-5-1,31	3.88	-0.25		
32.99	758.1	94-607-5-1,53	3.52	0.25		
33.07	759.0	94-607-5-1,61	3.55	0.34		
33.24	760.9	94-607-5-1,78	3.10	0.67		
33.39	762.7	94-607-5-1,93	3.03	0.55		
33.52	764.9	94-607-5-1,106	3.10	0.41		
33.65	767.9	94-607-5-1,119	3.17	0.43		
33.82	771.9	94-607-5-1,136	3.19	0.77		
33.97	775.5	94-607-5-2,1	2.92	0.69		
34.12	778.9	94-607-5-2,16	2.80	0.48	3.63	-0.29
34.27	782.0	94-607-5-2,31	2.69	0.68		
34.49	786.2	94-607-5-2,53	3.03	-0.34		
34.57	787.8	94-607-5-2,61	3.58	-0.39		
34.74	791.2	94-607-5-2,78	3.21	0.31		
34.87	793.8	94-607-5-2,91			4.64	-1.65
35.17	798.8	94-607-5-2,121	3.76	-0.37		
35.47	803.5	94-607-5-3,1	3.70	-0.71		
35.77	808.0	94-607-5-3,31	3.29	-0.31		
36.07	811.6	94-607-5-3,61	3.46	0.51		
36.39	816.6	94-607-5-3,93	3.40	0.27		
36.52	818.7	94-607-5-3,106	3.47	0.46		
36.67	822.7	94-607-5-3,121	3.26	0.33		
36.82	829.0	94-607-5-3,136	3.45	-0.16		
36.89	832.0	94-607-5-3,143	3.42	-1.12		
36.97	835.2	94-607-5-4,1			4.48	-1.47
37.33	842.4	94-607-5-4,37	3.61	0.05	4.32	-1.10
37.49	844.3	94-607-5-4,53	3.35	-0.12		
37.64	846.1	94-607-5-4,68	3.18	0.38		
37.74	847.3	94-607-5-4,78	3.15	0.76		
37.74	847.3	94-607-5-4,78	3.18	0.79		
38.02	850.7	94-607-5-4,106	2.78	0.45		
38.17	852.5	94-607-5-4,121	2.87	0.49		
38.27	853.7	94-607-5-4,131	2.74	0.57		
38.49	857.0	94-607-5-5,3	2.64	0.46		
38.62	861.5	94-607-5-5,16	2.57	0.54		
38.62	861.5	94-607-5-5,16	2.73	0.84		
38.75	867.1	94-607-5-5,29	2.82	0.37		
38.83	870.5	94-607-5-5,37			4.48	-0.93
38.99	872.7	94-607-5-5,53			4.42	-0.70
39.07	873.8	94-607-5-5,61	3.21	0.87		
39.24	876.2	94-607-5-5,78			4.09	-0.42
39.37	878.1	94-607-5-5,91			3.84	-0.32
39.52	880.2	94-607-5-5,106	3.24	0.85	3.74	-0.17
39.65	882.8	94-607-5-5,119	3.18	0.54		
39.65	882.8	94-607-5-5,119	3.11	0.80		
39.82	887.6	94-607-5-5,136	3.27	0.14	4.04	-0.68
39.97	892.4	94-607-5-6,1	3.31	0.51	4.14	-0.27
40.12	896.7	94-607-5-6,16	3.23	0.91		
40.32	902.9	94-607-5-6,36	2.97	0.91		
40.49	909.2	94-607-5-6,53	3.13	0.82		
40.57	912.6	94-607-5-6,61	2.92	0.93		
40.74	919.8	94-607-5-6,78	3.48	0.40		
40.84	923.7	94-607-5-6,88	3.58	0.44		
41.02	930.1	94-607-5-6,106	3.26	0.93		
41.17	935.2	94-607-5-6,120.5	3.08	0.61		
41.32	940.6	94-607-5-6,136			3.77	0.09
41.47	945.7	94-607-5-7,1	2.95	0.61		
41.62	950.5	94-607-5-7,16	2.74	0.99		
41.67	952.0	94-607-5-7,21	3.04	1.13		
41.83	955.2	94-607A-6-4,121	2.90	0.94		
41.97	956.8	94-607A-6-4,135	3.13	0.95		
42.26	960.1	94-607A-6-5,15	3.74	0.83		
42.26	960.1	94-607A-6-5,15	3.49	0.84		
42.33	960.7	94-607A-6-5,21	3.64	0.95		
42.42	961.8	94-607A-6-5,31	3.82	1.00		
42.56	963.4	94-607A-6-5,45	3.69	0.78		
42.56	963.4	94-607A-6-5,45	3.80	0.91		
42.86	967.0	94-607A-6-5,75	3.87	0.78		
43.54	974.7	94-607-6-1,53	3.24	0.76		
43.71	976.6	94-607-6-1,70	2.42	1.03	3.22	0.08
43.79	977.7	94-607-6-1,78	2.53	1.08	3.12	0.14
44.67	1002.0	94-607-6-2,16	3.05	0.77		
44.90	1009.0	94-607-6-2,39	3.11	0.50		
45.04	1015.9	94-607-6-2,53			3.59	0.03
45.57	1034.2	94-607-6-2,106	3.19	0.80		
45.87	1043.0	94-607-6-2,136	3.51	0.04		
45.87	1043.0	94-607-6-2,136	3.55	0.45		
46.02	1047.4	94-607-6-3,1	3.99	-0.60		
46.09	1048.5	94-607-6-3,8	3.51	0.09		
46.24	1050.4	94-607-6-3,23	3.34	0.54		
46.41	1052.6	94-607-6-3,40	3.19	0.27		
46.64	1055.6	94-607-6-3,63			3.14	0.46
46.79	1057.5	94-607-6-3,78	3.67	0.02		
46.92	1059.2	94-607-6-3,91	2.76	0.94		
47.30	1063.6	94-607-6-3,129	2.73	1.07		
47.52	1066.3	94-607-6-4,1	2.75	0.97		
47.67	1067.9	94-607-6-4,16	2.77	1.06		
47.80	1069.6	94-607-6-4,29	2.85	0.94		
47.91	1071.7	94-607-6-4,40	3.08	1.01		
48.04	1074.4	94-607-6-4,53	2.67	0.91		
48.12	1076.1	94-607-6-4,61	2.72	0.92		
48.29	1078.8	94-607-6-4,78	2.79	0.74		
48.42	1080.1	94-607-6-4,91	3.45	0.89		
48.46	1080.6	94-607-6-4,95	2.90	0.74		
48.57	1081.7	94-607-6-4,106	3.60	0.69	4.03	-0.49
48.70	1083.1	94-607-6-4,119			4.16	-0.43
48.72	1083.4	94-607-6-4,121.5			4.19	-0.43
48.87	1084.9	94-607-6-4,136			4.43	-0.77
49.02	1088.1	94-607-6-5,1	3.86	0.61	4.36	-0.54
49.09	1089.7	94-607-6-5,8			4.31	-0.73
49.17	1091.4	94-607-6-5,16	3.57	0.26		
49.32	1093.3	94-607-6-5,31	3.58	-0.21		
49.39	1094.2	94-607-6-5,38			4.50	-0.42
49.54	1096.4	94-607-6-5,53			4.15	-0.63
49.62	1097.6	94-607-6-5,61			4.06	-0.53
49.79	1100.2	94-607-6-5,78	3.03	0.46	3.88	-0.24
49.92	1102.2	94-607-6-5,91	2.81	0.75		
49.92	1102.2	94-607-6-5,91	3.12	0.91		
50.07	1104.5	94-607-6-5,106	2.54	0.92		
50.22	1106.7	94-607-6-5,120.5	2.47	0.88		
50.37	1109.9	94-607-6-5,136	2.56	0.64		
50.52	1114.5	94-607-6-6,1	2.71	0.47		
50.52	1114.5	94-607-6-6,1	2.34	0.80		
50.82	1123.8	94-607-6-6,31			4.36	-0.99
50.89	1126.0	94-607-6-6,38			4.43	-1.20
51.04	1130.5	94-607-6-6,53			4.51	-1.41
51.12	1132.7	94-607-6-6,61			4.48	-1.41
51.21	1134.8	94-607-6-6,70	3.92	0.67	4.24	-0.67
51.21	1134.8	94-607-6-6,70				
51.29	1136.7	94-607-6-6,78	3.58	0.30		
51.57	1143.2	94-607-6-6,106			3.85	-0.09
51.57	1143.2	94-607-6-6,106			3.96	-0.06
51.70	1146.2	94-607-6-6,119	3.14	0.89	3.83	-0.32
51.87	1149.9	94-607-6-6,136	3.11	1.16		
52.02	1153.1	94-607-6-7,1	3.24	1.14		
52.25	1158.2	94-607A -7-5,1	3.28	1.01		
52.40	1163.2	94-607A -7-5,15	3.18	0.60		
52.54	1170.5	94-607A -7-5,30	3.71	0.48		
52.65	1174.8	94-607A -7-5,41	3.71	0.04		
52.69	1175.5	94-607A -7-5,45	3.60	0.28		
52.84	1178.2	94-607A -7-5,60	3.59	0.41	3.76	-0.12
52.99	1180.9	94-607-7-1,16			3.64	-0.07
53.13	1183.2	94-607-7-1,29			3.65	-0.02
53.36	1187.0	94-607-7-1,53	2.90	0.99		
53.61	1190.5	94-607-7-1,78	3.30	1.10		
53.74	1192.4	94-607-7-1,91			3.88	-0.39
53.90	1194.5	94-607-7-1,106			4.00	-0.48
54.04	1196.9	94-607-7-1,121	2.74	1.15		
54.34	1203.9	94-607-7-2,1	3.14	1.10		
54.49	1207.7	94-607-7-2,16	3.58	0.23	4.04	-0.62
54.65	1212.4	94-607-7-2,31			4.26	-0.63
54.70	1214.8	94-607-7-2,37			4.09	-0.46
54.86	1221.2	94-607-7-2,53	2.92	1.06	3.42	-0.08
54.97	1224.8	94-607-7-2,63			3.57	0.10
55.40	1237.3	94-607-7-2,106	2.73	1.13		
55.69	1242.1	94-607-7-2,136	3.07	0.99		
55.84	1244.5	94-607-7-3,1	3.20	1.02		
55.99	1246.8	94-607-7-3,16	3.45	0.98		
56.13	1248.9	94-607-7-3,29	3.57	0.87		
56.36	1254.3	94-607-7-3,53	3.55	0.27		
56.47	1257.1	94-607-7-3,63	3.53	1.10		
56.61	1261.2	94-607-7-3,78			3.71	0.10
56.74	1264.8	94-607-7-3,91			3.75	0.03
56.90	1268.9	94-607-7-3,106			3.54	0.12
