Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
LAST UPDATE: 3/2005 (Original receipt by WDC Paleo)
CONTRIBUTOR: Torsten Bickert, Fachbereich Geowissenschaften, Universitat Bremen
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-029

SUGGESTED DATA CITATION: Bickert, T., et al.  2005. 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2005-029.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: Bickert, T., G.H. Haug, and R. Tiedemann.  2004.
Late Neogene benthic stable isotope record of Ocean Drilling Program 
Site 999: Implications for Caribbean paleoceanography, organic carbon 
burial, and the Messinian Salinity Crisis.
Paleoceanography, Vol. 19, PA1023, doi:10.1029/2002PA000799. 


ABSTRACT:
We report on epibenthic foraminiferal d18O and d13C and percentage coarse 
fraction records from Caribbean Ocean Drilling Program (ODP) Site 999 
(12°44 N, 78°44 W, Water depth 2828 m.) spanning the interval from 
8.5 to 5.3 Ma. Low epibenthic d13C values and low amounts of sand-sized 
particles (mostly foraminifer shells) indicate a poorly ventilated deep 
Caribbean throughout the late Miocene. At this time the deep Caribbean was 
dominated by a nutrient-rich and corrosive water mass. A generally constant 
d13C gradient between the Caribbean and deep Atlantic records during the 
late Miocene suggests that the fluctuations in d13Creflect global changes 
in d13C of the dissolved inorganic carbon due to varying erosion of organic 
carbon from terrigenous soils and shelf sediments. The observed 100-kyr 
cyclicity of epibenthic d13C is in good accordance with the variability 
of terrigenous input to the equatorial Atlantic as recorded by magnetic 
susceptibility records of the Ceara Rise. However, some short-term 
gradient changes between 7.0 and 4.5 Ma indicate a poorer ventilation 
of the deep Atlantic related to a reduced production of deep water in 
the Atlantic. The Messinian Salinity Crisis between 6.0 and 5.3 Ma did not 
affect the intermediate to deep water gradient between the Caribbean and 
the Atlantic. Comparison to the Bahama platform record of ODP Site 1006, 
however, indicates a poorer ventilation of the shallower northern Caribbean 
basins coincident with the isolation of the Mediterranean Sea. 


GEOGRAPHIC REGION: Caribbean Sea
PERIOD OF RECORD:  8.5 - 5.3 MMYrBP 

DESCRIPTION: 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
ODP999A: 12°44.639 N, 78°44.360 W, Water depth 2828 m.

Benthic stable carbon and oxygen isotope record (C. wuellerstorfi) and 
percentage coarse fraction data of Caribbean Sea ODP site 999, spanning 
the late Miocene interval between 8.5 and 5.3 Ma.


DATA:
1. Core ODP999 c. wuellerstorfi isotope and grain size data
Column 1: Sample ID
Column 2: Core Section 
Column 2: Section Top depth
Column 2: Total depth, Meters below sea floor
Column 2: Adjusted Depth
Column 2: Age, Million Years Before Present
Column 2: Percent of sediment grains greater than 63 microns
Column 3: c. wuellerstorfi d13C per mil
Column 3: c. wuellerstorfi d18O per mil


                                                            c. wuellerstorfi
Sample    Sec    Top    mbsf     rmbsf*0.9   age(my)   >63µ(%)  d13C(‰)   d18O(‰)
999A19H    05     45   175.60     174.95     5.789      2.12      0.26      2.29
999A19H    05     65   175.80     175.13     5.794      1.66      0.27      2.32
999A19H    05     75   175.90     175.22     5.799      1.62      0.47      1.79
999A19H    05     85   176.00     175.31     5.804      2.45      0.60      2.02
999A19H    05     95   176.10      175.4     5.809      1.76      0.36      1.91
999A19H    05    105   176.20     175.49     5.814      1.68      0.52      1.85
999A19H    05    115   176.30     175.58     5.818      2.21      0.57      1.93
999A19H    05    125   176.40     175.67     5.823      1.60      0.40      1.51
999A19H    05    135   176.50     175.76     5.828      2.57      0.52      1.88
999A19H    05    145   176.60     175.85     5.833      3.27      0.51      2.11
999A19H    06      5   176.70     175.94     5.838      3.33      0.60      2.10
999A19H    06     15   176.80     176.03     5.844      3.40      0.44      1.97
999A19H    06     25   176.90     176.12     5.849      3.74      0.26      1.72
999A19H    06     35   177.00     176.21     5.855      3.00      0.28      1.83
999A19H    06     45   177.10      176.3     5.860      2.94      0.37      1.80
999A19H    06     65   177.30     176.48     5.872      3.03      0.05      1.54
999A19H    06     75   177.40     176.57     5.877      3.34      0.36      1.81
999A19H    06     85   177.50     176.66     5.883      3.25      0.40      1.53
999A19H    06     95   177.60     176.75     5.889      4.20      0.29      1.66
999A19H    06    105   177.70     176.84     5.894      3.55      0.17      1.53
999A19H    06    115   177.80     176.93     5.900      4.59     -0.04      1.75
999A19H    06    125   177.90     177.02     5.905      4.83      0.03      2.18
999A19H    06    135   178.00     177.11     5.911      3.61      0.21      2.21
999A19H    06    145   178.10      177.2     5.913      2.73      0.11      2.00
999A19H    07      5   178.20     177.29     5.915      3.57      0.37      2.08
999A19H    07     15   178.30     177.38     5.916      3.04      0.35      1.93
999A19H    07     25   178.40     177.47     5.918      2.06      0.47      1.88
999A19H    07     35   178.50     177.56     5.920      1.06      0.35      1.51
999A19H    07     45   178.60     177.65     5.922      1.14      0.44      2.03
999A19H    07     55   178.70     177.74     5.923      1.48      0.50      1.80
999A19H    CC      5   178.84    177.866     5.926      2.30      0.54      2.09
999A19H    CC     15   178.94    177.956     5.928      4.62      0.61      1.89
999A19H    CC     25   179.04    178.046     5.929      2.19      0.41      2.04
999A20H    01      5   178.65    178.645     5.941      2.53      0.38      1.98
999A20H    01     15   178.75    178.735     5.943      2.38      0.51      1.77
999A20H    01     25   178.85    178.825     5.945      2.03      0.47      2.09
999A20H    01     35   178.95    178.915     5.947      3.28      0.47      2.11
999A20H    01     45   179.05    179.005     5.948      4.24      0.42      2.19
999A20H    01     65   179.25    179.185     5.952      2.29      0.46      2.32
999A20H    01     75   179.35    179.275     5.955      3.35      0.67      2.00
999A20H    01     85   179.45    179.365     5.958      2.21      0.51      1.98
999A20H    01     95   179.55    179.455     5.960      3.51      0.65      2.09
999A20H    01    105   179.65    179.545     5.963      3.53      0.38      2.22
999A20H    01    115   179.75    179.635     5.966      3.70      0.56      1.24
999A20H    01    125   179.85    179.725     5.969      3.10      0.63      1.61
999A20H    01    135   179.95    179.815     5.972      3.58      0.57      2.09
999A20H    01    145   180.05    179.905     5.974      2.24      0.77      1.98
999A20H    02      5   180.15    179.995     5.977      3.06      0.56      1.96
999A20H    02     15   180.25    180.085     5.980      4.82      0.54      1.98
999A20H    02     25   180.35    180.175     5.983      3.71      0.42      2.16
