depth (mcd)	LR04 age (ka)	benthic O18
139.48	1044.33	4.13
139.58	1045.14	3.86
139.58	1045.14	3.98
139.58	1045.14	4.05
139.58	1045.14	3.98
139.58	1045.14	3.87
139.88	1047.44	3.71
139.88	1047.44	3.84
139.88	1047.44	3.90
139.88	1047.44	3.99
139.88	1047.44	3.89
140.08	1048.73	3.91
140.08	1048.73	3.82
140.08	1048.73	3.86
140.08	1048.73	3.96
140.18	1049.37	3.86
140.18	1049.37	3.73
140.18	1049.37	3.78
140.48	1051.27	3.79
140.48	1051.27	3.85
140.60	1052.00	3.89
140.60	1052.00	3.78
140.60	1052.00	3.84
140.78	1053.08	3.51
140.78	1053.08	3.45
140.98	1054.22	3.85
140.98	1054.22	3.80
140.98	1054.22	3.74
141.20	1055.41	3.50
141.20	1055.41	3.69
141.80	1058.31	3.22
141.80	1058.31	3.89
141.80	1058.31	3.70
141.88	1058.70	3.95
141.88	1058.70	3.26
141.88	1058.70	3.10
141.88	1058.70	3.24
142.10	1059.76	3.51
142.10	1059.76	3.63
142.10	1059.76	3.57
142.10	1059.76	3.39
142.18	1060.15	3.36
142.18	1060.15	3.25
142.18	1060.15	3.76
142.48	1061.60	3.25
142.48	1061.60	3.39
142.48	1061.60	3.17
142.48	1061.60	2.99
142.48	1061.60	3.16
143.08	1064.55	3.33
143.08	1064.55	3.08
143.08	1064.55	3.33
143.08	1064.55	3.02
143.08	1064.55	3.27
143.38	1066.25	3.19
143.38	1066.25	3.08
143.38	1066.25	3.22
143.38	1066.25	3.20
143.68	1069.53	3.04
143.68	1069.53	2.87
143.68	1069.53	2.75
143.68	1069.53	2.81
145.77	1099.49	3.49
145.77	1099.49	3.58
146.07	1103.19	3.22
146.07	1103.19	3.15
146.07	1103.19	2.99
146.37	1106.41	3.27
146.37	1106.41	3.17
146.37	1106.41	3.56
146.67	1109.64	3.29
146.67	1109.64	3.36
146.67	1109.64	3.07
146.67	1109.64	3.32
146.67	1109.64	3.14
146.97	1112.86	3.38
147.17	1115.01	3.63
147.27	1116.09	3.37
149.67	1141.96	3.69
149.67	1141.96	3.23
149.67	1141.96	3.37
150.81	1156.83	3.27
150.81	1156.83	3.39
150.87	1158.05	3.12
150.87	1158.05	3.22
151.17	1164.09	3.09
151.17	1164.09	3.13
151.41	1168.92	2.89
151.41	1168.92	3.67
151.41	1168.92	3.71
151.41	1168.92	2.92
151.41	1168.92	3.04
151.71	1174.98	3.41
151.71	1174.98	3.01
151.71	1174.98	2.94
151.71	1174.98	2.96
152.01	1181.02	3.26
152.31	1186.67	3.04
152.31	1186.67	3.04
152.31	1186.67	3.01
152.90	1193.44	3.93
152.90	1193.44	3.78
152.90	1193.44	3.91
152.91	1193.54	3.83
152.91	1193.54	3.85
153.50	1197.39	4.20
156.20	1213.30	3.91
156.80	1224.70	1.73
