# NOAA Paleoclimatology Program - Paleocean Site Data			
# odp846_isot-tab.txt			
# Isotope data only			
# File Created: 19-Jan-2005			
#			
#*********************************************************************************			
# Please cite the contributor and the original publications when using these data			
#*********************************************************************************			
#			
# Missing Values indicated by '-999'			
#			
# PI:             Alan C. Mix			
# Core/Site:      ODP846			
# Latitude:       3.05.42S	( -3.095)		
# Longitude:      90.49.06W	( -90.81834)		
# Water Depth(m): 3296			
#			
# Publications:			
#   Mix. A.C.. N.G. Pisias. W. Rugh. J. Wilson. A. Morey. and T. Hagelberg. 1995.			
#     Benthic foraminifera stable isotope record form Site 849. 0-5 Ma: Local and global			
#     climate changes. Pages 371~412 in N.G. Pisias. L. Mayer. T. Janecek. A. Palmer-Julson.			
#     T.H. vanAndel. editors. Proceedings of the Ocean Drilling Program. Scientific			
#     Results 138. College Station. Texas. USA.			
#   Mix. A.C.. J. Le. and N.J. Shackleton. 1995. Benthic foraminiferal stable isotope			
#     stratigraphy of Site 846: 0-1.8 Ma. Pages 839~854 in N.G. Pisias. L. Mayer. T.			
#     Janecek. A. Palmer-Julson. and T.H. vanAndel. editors. Proceedings of the Ocean			
#     Drilling Program. Scientific Results 138. College Station. Texas. USA.			
#------------------			
#			
# Description & Notes:			
#   Tropical Pacific benthic isotope record for 0-5 Ma.			
#   Depth used is Revised Meters Composite Depth			
#			
# Variables:			
#             depth         Depth (cm)			
"#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)"			
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)			
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)			
#			
# CORE: ODP846			
depth	kyrBP	d18Oforams-b	d13Cforams-b
3257	881.26	4.78	-0.85
3266	883.33	4.72	-0.8
3274	885.14	4.56	-0.81
3282	886.92	4.46	-0.85
3291	888.92	4.54	-0.89
3302	891.34	4.51	-0.79
3315	894.21	4.45	-0.79
3326	896.64	4.46	-0.69
3333	898.16	4.05	-0.51
3339	899.45	4.17	-0.57
3343	900.25	4.22	-0.65
3348	901.24	4.15	-0.66
3353	902.16	4.09	-0.54
3360	903.36	4.15	-0.79
3370	904.89	4.15	-0.76
3391	907.95	4.26	-0.98
3414	911.9	4.4	-1.06
3427	914.56	4.53	-0.96
3435	916.41	4.46	-0.91
3440	917.6	4.47	-0.94
3443	918.39	4.24	-0.8
3454	921.36	4.23	-0.75
3467	925.26	4.03	-0.57
3477	928.55	3.95	-0.51
3488	932.44	3.51	-0.42
3498	936.23	3.76	-0.25
3509	940.63	3.63	-0.26
3519	944.76	3.53	-0.2
3529	948.85	3.39	-0.29
3539	952.66	3.34	-0.4
3548	955.69	4.08	-0.53
3558	958.64	3.81	-0.43
3578	963.92	4.21	-0.29
3588	966.66	3.98	-0.26
3598	969.6	3.89	-0.23
3608	972.8	3.83	-0.29
3618	976.3	3.7	-0.16
3628	980.11	3.94	-0.32
3638	984.27	4	-0.42
3648	988.81	3.805	-0.29
3657	993.22	3.96	-0.37
3667	998.48	4.085	-0.375
3676	1003.5	4.06	-0.4
3678	1004.63	4.22	-0.3
3687	1009.88	4.23	-0.63
3696	1015.2	3.78	-0.14
3698	1016.38	4.06	-0.32
3706	1021.05	3.64	-0.2
3708	1022.21	3.9	-0.17
3716	1026.66	3.855	-0.2
3718	1027.76	4.35	-0.35
3726	1031.83	4.18	-0.39
3736	1036.38	4.41	-0.37
3746	1040.23	4.47	-0.39
3755	1043.14	4.38	-0.46
3765	1045.9	4.32	-0.52
3775	1048.32	4.21	-0.52
3785	1050.51	4.28	-0.58
3794	1052.33	4.23	-0.61
3804	1054.22	4.18	-0.59
3814	1056.01	4.21	-0.64
3824	1057.72	4.2	-0.63
3834	1059.38	4.15	-0.58
3844	1061	4.04	-0.37
3854	1062.58	3.79	-0.27
3864	1064.14	3.67	-0.03
3873	1065.55	3.34	-0.19
3883	1067.13	2.92	-0.29
3893	1068.73	3.93	-0.41
3903	1070.36	4.03	-0.7
3914	1072.21	3.36	-0.16
3923	1073.77	3.61	-0.24
3933	1075.57	3.58	-0.17
3944	1077.65	3.84	-0.12
3954	1079.62	3.63	-0.22
3964	1081.7	3.61	0.07
3974	1083.88	4.14	-0.13
3985	1086.4	4.24	-0.4
3996	1089.02	4.24	-0.39
4007	1091.73	4.28	-0.43
4019	1094.78	4.12	-0.49
4031	1097.91	4.3	-0.5
4041	1100.54	4.33	-0.54
4050	1102.92	4.08	-0.36
4058	1105.02	3.9	-0.16
4072	1108.64	4	-0.14
4079	1110.42	3.83	-0.29
4086	1112.17	3.89	-0.33
4093	1113.91	3.92	-0.26
4102	1116.11	4.2	-0.49
4112	1118.51	4.23	-0.56
4122	1120.88	4.31	-0.61
4135	1123.94	4.34	-0.66
4147	1126.77	4.48	-0.71
4160	1129.82	4.36	-0.58
4172	1132.65	4.42	-0.68
4182	1135.01	4.34	-0.65
4192	1137.39	4.21	-0.61
4201	1139.54	4.36	-0.79
4211	1141.94	4.05	-0.52
4219	1143.87	3.95	-0.38
4228	1146.05	3.92	-0.39
4238	1148.47	3.88	-0.38
4248	1150.86	3.89	-0.29
4258	1153.22	4.04	-0.25
4269	1155.78	3.86	0
4279	1158.06	3.8	-0.16
4290	1160.53	3.62	0.03
4300	1162.73	3.68	-0.01
4309	1164.66	3.7	0.02
4319	1166.78	3.89	-0.02
4328	1168.66	3.78	-0.06
4338	1170.75	3.54	-0.07
4348	1172.84	3.79	-0.13
4358	1174.96	3.8	-0.15
4369	1177.33	3.5	-0.29
4379	1179.57	3.57	-0.23
4389	1181.9	3.94	-0.42
4399	1184.36	3.71	-0.39
4408	1186.75	4.11	-0.49
4417	1189.35	4.16	-0.62
4426	1192.2	4.14	-0.59
4435	1195.33	4.1	-0.73
4445	1199.2	3.87	-0.73
4455	1203.46	4.17	-0.54
4465	1208.1	4.09	-0.42
4477	1213.98	4.18	-0.57
4488	1219.42	4.02	-0.26
4498	1224.19	3.77	0.02
4509	1229.07	3.77	-0.25
4518	1232.69	3.55	0.06
4527	1236	3.76	-0.21
4536	1239.02	3.49	-0.17
4545	1241.8	3.51	-0.75
4555	1244.64	3.83	-0.92
4566	1247.53	4.06	-0.6
4577	1250.23	4.42	-0.6
4583	1251.64	4.27	-0.59
4587	1252.56	4.45	-0.75
4590	1253.25	4.38	-0.68
4594	1254.14	4.58	-0.7
4601	1255.69	4.52	-0.59
4611	1257.85	4.25	-0.5
4622	1260.2	4.3	-0.54
4634	1262.73	4.22	-0.44
4643	1264.63	4.19	-0.34
4653	1266.73	4.1	-0.38
4663	1268.83	3.98	-0.34
4673	1270.95	3.89	-0.14
4683	1273.07	3.85	-0.12
4694	1275.41	3.77	-0.19
4704	1277.52	3.68	-0.15
4713	1279.42	3.81	-0.22
4723	1281.53	3.87	-0.28
4733	1283.63	4.03	-0.31
4743	1285.72	4.25	-0.54
4753	1287.8	4.35	-0.55
4763	1289.88	4.28	-0.52
4773	1291.92	4.26	-0.58
4783	1293.97	4.22	-0.59
4790	1295.39	4.2	-0.325
4800	1297.41	4.26	-0.4
4806	1298.62	4.35	-0.43
4813	1300.04	4.09	-0.48
4820	1301.46	4.11	-0.59
4831	1303.71	4.13	-0.65
4843	1306.17	4.05	-0.41
4858	1309.29	3.94	-0.23
4873	1312.46	3.79	-0.28
4886	1315.27	3.77	-0.14
4895	1317.25	3.7	-0.01
4904	1319.26	3.8	-0.24
4910	1320.62	3.65	-0.14
4918	1322.46	3.84	-0.29
